測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2021-01-01,19.1,9.6,66,1.6,0.0,13.85
G2F820,2021-01-02,22.1,7.8,75,1.6,0.0,17.95
G2F820,2021-01-03,24.2,9.0,79,1.8,0.0,18.31
G2F820,2021-01-04,23.4,10.4,85,1.6,0.0,17.96
G2F820,2021-01-05,24.5,12.8,78,0.0,0.0,0.00
G2F820,2021-01-06,17.7,14.5,82,1.6,0.0,2.44
G2F820,2021-01-07,16.8,10.4,83,3.5,0.5,5.65
G2F820,2021-01-08,10.9,8.2,73,3.6,0.0,3.59
G2F820,2021-01-09,16.2,7.2,61,2.6,0.0,13.31
G2F820,2021-01-10,20.2,6.1,66,1.4,0.0,17.21
G2F820,2021-01-11,15.2,9.1,85,0.0,1.0,0.00
G2F820,2021-01-12,16.8,6.8,76,2.3,2.5,12.07
G2F820,2021-01-13,22.2,5.4,74,1.2,0.0,19.06
G2F820,2021-01-14,23.9,6.7,70,1.2,0.0,18.99
G2F820,2021-01-15,24.0,7.3,73,1.2,0.0,18.20
G2F820,2021-01-16,24.3,8.6,76,1.8,0.0,17.18
G2F820,2021-01-17,20.8,9.2,73,3.3,0.0,18.69
G2F820,2021-01-18,21.4,7.9,74,1.6,0.0,17.26
G2F820,2021-01-19,23.5,9.3,73,1.2,0.0,17.65
G2F820,2021-01-20,24.9,10.5,79,1.4,0.0,18.41
G2F820,2021-01-21,29.6,14.6,78,1.3,0.0,12.99
G2F820,2021-01-22,26.4,17.0,84,1.3,0.0,8.45
G2F820,2021-01-23,26.4,15.8,84,2.0,0.0,18.52
G2F820,2021-01-24,24.4,13.7,80,1.5,0.0,17.76
G2F820,2021-01-25,26.0,14.4,71,2.0,0.0,18.77
G2F820,2021-01-26,25.2,12.4,78,1.4,0.0,18.02
G2F820,2021-01-27,25.1,12.6,82,1.7,0.0,17.26
G2F820,2021-01-28,23.2,11.5,79,2.9,0.0,17.79
G2F820,2021-01-29,23.6,10.1,68,1.3,0.0,14.87
G2F820,2021-01-30,23.8,10.8,73,0.0,0.0,0.00
G2F820,2021-01-31,24.3,11.0,71,1.3,0.0,18.52
G2F820,2021-02-01,25.7,11.1,61,1.5,0.0,19.44
G2F820,2021-02-02,27.1,10.4,67,2.0,0.0,18.89
G2F820,2021-02-03,26.0,12.1,75,1.8,0.0,18.23
G2F820,2021-02-04,25.2,11.7,75,1.2,0.0,18.62
G2F820,2021-02-05,26.5,12.4,77,1.3,0.0,18.29
G2F820,2021-02-06,27.7,12.9,71,1.7,0.0,18.76
G2F820,2021-02-07,25.9,12.3,78,1.2,0.0,18.70
G2F820,2021-02-08,27.1,13.1,75,2.0,0.0,18.14
G2F820,2021-02-09,26.4,13.8,73,1.6,0.0,18.61
G2F820,2021-02-10,24.2,14.9,83,1.4,6.0,13.03
G2F820,2021-02-11,20.2,16.5,93,3.0,18.5,4.78
G2F820,2021-02-12,23.2,14.8,85,2.1,0.0,17.85
G2F820,2021-02-13,26.6,17.2,80,1.8,0.0,22.00
G2F820,2021-02-14,25.7,15.2,85,1.6,0.0,20.43
G2F820,2021-02-15,26.8,13.2,77,1.5,0.0,22.38
G2F820,2021-02-16,26.6,15.5,71,0.0,0.0,0.00
