測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,1996-01-01,22.3,5.0,70,1.8,0.0,11.13
G2F820,1996-01-02,23.1,5.0,68,1.4,0.0,11.10
G2F820,1996-01-03,23.4,5.0,70,2.0,0.0,11.30
G2F820,1996-01-04,24.8,5.5,66,1.3,0.0,11.00
G2F820,1996-01-05,27.1,11.9,70,1.8,0.0,10.60
G2F820,1996-01-06,27.6,11.5,77,2.1,0.0,10.70
G2F820,1996-01-07,25.7,11.0,85,1.8,0.0,10.40
G2F820,1996-01-08,22.3,9.5,77,3.6,0.0,10.40
G2F820,1996-01-09,16.9,9.0,73,1.8,0.0,4.60
G2F820,1996-01-10,21.0,10.5,80,2.0,0.0,9.20
G2F820,1996-01-11,22.6,9.7,84,1.9,0.0,7.20
G2F820,1996-01-12,26.0,8.9,83,2.5,0.0,11.10
G2F820,1996-01-13,24.6,12.2,89,2.1,0.0,10.40
G2F820,1996-01-14,25.7,10.1,85,1.8,0.0,11.00
G2F820,1996-01-15,26.4,15.3,84,2.8,0.0,10.10
G2F820,1996-01-16,23.0,13.3,80,2.6,0.0,10.70
G2F820,1996-01-17,27.6,12.4,75,2.4,0.0,10.00
G2F820,1996-01-18,26.4,15.0,83,2.5,3.5,8.70
G2F820,1996-01-19,18.0,12.4,96,2.2,11.0,2.83
G2F820,1996-01-20,22.6,12.1,87,1.7,0.0,8.30
G2F820,1996-01-21,23.0,14.2,86,2.6,0.0,8.90
G2F820,1996-01-22,26.2,12.8,85,1.9,0.0,11.90
G2F820,1996-01-23,25.1,13.0,84,2.6,0.0,11.60
G2F820,1996-01-24,24.8,13.2,81,2.2,0.0,9.90
G2F820,1996-01-25,22.4,13.2,85,3.3,0.0,11.09
G2F820,1996-01-26,20.9,10.7,74,2.8,0.0,12.20
G2F820,1996-01-27,21.3,11.6,79,3.2,0.0,9.50
G2F820,1996-01-28,22.2,11.5,81,2.6,0.0,11.40
G2F820,1996-01-29,22.2,11.1,79,2.4,0.0,11.50
G2F820,1996-01-30,24.2,10.6,74,2.1,0.0,9.30
G2F820,1996-01-31,24.0,12.9,80,3.5,0.0,10.10
G2F820,1996-02-01,21.7,12.2,71,5.2,0.0,12.11
G2F820,1996-02-02,18.7,7.9,58,4.4,0.0,10.80
G2F820,1996-02-03,20.5,7.2,69,2.0,0.0,11.10
