測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,1995-01-01,23.8,10.7,76,2.7,0.0,11.10
G2F820,1995-01-02,25.0,11.9,75,2.1,0.0,10.10
G2F820,1995-01-03,25.9,14.1,80,2.3,0.0,9.30
G2F820,1995-01-04,18.1,11.2,82,4.0,1.0,4.80
G2F820,1995-01-05,16.5,5.5,62,3.2,0.0,7.02
G2F820,1995-01-06,20.8,4.0,71,2.1,0.0,11.50
G2F820,1995-01-07,23.7,6.0,70,1.5,0.0,11.80
G2F820,1995-01-08,25.3,7.2,72,1.7,0.0,12.00
G2F820,1995-01-09,25.7,9.0,74,1.7,0.0,11.41
G2F820,1995-01-10,27.6,12.4,74,2.2,0.0,10.00
G2F820,1995-01-11,24.7,15.9,82,2.3,0.0,8.50
G2F820,1995-01-12,23.0,13.9,79,4.2,0.0,9.30
G2F820,1995-01-13,18.8,9.2,77,3.3,0.0,6.80
G2F820,1995-01-14,20.9,8.0,71,2.3,0.0,9.40
G2F820,1995-01-15,21.4,10.7,71,2.1,0.0,6.70
G2F820,1995-01-16,19.5,10.7,81,3.3,0.0,10.30
G2F820,1995-01-17,25.0,9.4,74,1.9,0.0,12.20
G2F820,1995-01-18,24.7,10.0,74,1.7,0.0,11.30
G2F820,1995-01-19,25.2,10.0,77,1.9,0.0,11.90
G2F820,1995-01-20,25.8,10.2,79,1.6,0.0,10.60
G2F820,1995-01-21,25.4,12.3,83,1.9,0.0,11.40
G2F820,1995-01-22,30.3,16.8,69,1.9,0.0,11.30
G2F820,1995-01-23,24.0,14.0,77,3.4,0.0,10.20
G2F820,1995-01-24,22.6,13.0,72,2.8,0.0,9.14
G2F820,1995-01-25,22.5,13.2,79,2.4,0.0,7.96
G2F820,1995-01-26,20.1,12.1,88,2.5,1.0,3.60
G2F820,1995-01-27,19.8,13.5,86,2.7,2.5,4.70
G2F820,1995-01-28,16.0,13.5,86,3.5,3.5,2.50
G2F820,1995-01-29,18.1,13.1,77,2.5,0.0,5.10
G2F820,1995-01-30,17.9,12.0,81,3.9,0.0,8.60
G2F820,1995-01-31,14.0,11.1,80,4.2,0.0,3.20
G2F820,1995-02-01,14.9,9.8,67,3.8,0.0,5.13
G2F820,1995-02-02,16.0,10.2,70,3.3,0.0,6.31
G2F820,1995-02-03,19.8,8.4,70,2.7,0.0,10.55
G2F820,1995-02-04,17.1,10.1,68,4.7,0.0,12.44
G2F820,1995-02-05,17.3,5.8,59,3.2,0.0,12.55
G2F820,1995-02-06,20.5,5.2,64,2.0,0.0,12.65
G2F820,1995-02-07,21.9,6.0,69,1.8,0.0,13.16
G2F820,1995-02-08,23.7,8.3,66,2.6,0.0,12.15
G2F820,1995-02-09,24.2,12.2,72,3.0,0.0,13.90
G2F820,1995-02-10,22.9,11.6,71,1.7,0.0,8.55
G2F820,1995-02-11,23.4,15.1,77,2.5,0.0,7.84
G2F820,1995-02-12,27.3,15.0,77,2.4,0.0,12.76
G2F820,1995-02-13,25.8,14.6,84,2.5,0.0,9.71
G2F820,1995-02-14,19.3,14.0,90,3.1,13.5,3.97
G2F820,1995-02-15,17.4,13.5,88,2.2,0.0,3.40
G2F820,1995-02-16,21.5,13.4,77,2.7,0.5,8.43
G2F820,1995-02-17,21.7,13.0,89,2.2,5.0,7.77
