測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,1992-01-01,22.7,14.6,93,2.0,1.0,7.18
G2F820,1992-01-02,23.9,15.7,92,2.0,0.0,9.67
G2F820,1992-01-03,25.7,15.3,91,2.3,0.0,9.10
G2F820,1992-01-04,25.0,15.8,90,2.2,0.0,9.98
G2F820,1992-01-05,24.3,15.3,94,3.0,2.0,7.39
G2F820,1992-01-06,20.9,13.8,92,3.1,0.5,5.31
G2F820,1992-01-07,22.2,12.2,91,2.4,0.0,9.32
G2F820,1992-01-08,16.6,13.2,96,2.8,1.0,3.21
G2F820,1992-01-09,15.7,9.7,86,3.9,0.0,4.31
G2F820,1992-01-10,18.1,9.7,84,1.6,0.0,4.90
G2F820,1992-01-11,21.3,11.0,87,2.0,0.0,9.72
G2F820,1992-01-12,23.9,9.6,82,1.3,0.0,10.98
G2F820,1992-01-13,23.0,10.3,83,4.7,0.0,12.40
G2F820,1992-01-14,12.7,6.7,71,5.7,0.0,3.88
G2F820,1992-01-15,16.1,6.3,80,2.9,0.0,11.32
G2F820,1992-01-16,19.0,7.7,81,2.2,0.0,7.08
G2F820,1992-01-17,19.6,8.9,74,2.3,0.0,6.78
G2F820,1992-01-18,14.8,10.1,81,1.9,2.0,4.05
G2F820,1992-01-19,16.2,10.5,96,2.1,9.5,3.79
G2F820,1992-01-20,18.8,9.6,92,3.5,0.5,13.40
G2F820,1992-01-21,20.0,6.7,87,2.0,0.0,13.09
G2F820,1992-01-22,21.3,10.4,82,2.1,0.0,12.70
G2F820,1992-01-23,22.0,10.1,85,1.8,0.0,9.74
G2F820,1992-01-24,23.3,12.0,92,2.1,8.0,8.99
G2F820,1992-01-25,18.1,12.9,92,4.0,0.0,5.62
G2F820,1992-01-26,21.5,10.7,83,2.6,0.0,13.24
G2F820,1992-01-27,22.4,8.7,81,1.9,0.0,10.20
G2F820,1992-01-28,25.4,11.8,76,1.8,0.0,9.80
G2F820,1992-01-29,26.2,11.2,74,1.9,0.0,12.80
G2F820,1992-01-30,27.5,11.5,77,1.7,0.0,12.85
G2F820,1992-01-31,21.0,10.7,83,4.7,4.0,10.00
G2F820,1992-02-01,19.8,8.5,75,1.8,0.0,9.90
G2F820,1992-02-02,21.9,12.6,84,2.0,0.0,8.00
G2F820,1992-02-03,27.1,11.8,82,2.1,0.0,13.00
G2F820,1992-02-04,24.1,14.4,91,2.2,0.0,10.60
G2F820,1992-02-05,19.6,13.7,88,2.5,0.0,5.60
G2F820,1992-02-06,19.5,12.8,92,2.5,0.0,7.40
G2F820,1992-02-07,20.4,10.6,89,4.2,9.0,8.00
G2F820,1992-02-08,17.5,10.0,89,2.3,0.0,8.62
G2F820,1992-02-09,18.8,13.0,92,2.5,0.0,6.30
G2F820,1992-02-10,18.8,13.4,92,3.1,0.0,6.80
G2F820,1992-02-11,16.8,13.2,98,3.2,38.5,2.30
G2F820,1992-02-12,16.7,13.4,98,3.3,9.5,3.10
G2F820,1992-02-13,15.0,12.1,98,3.1,17.0,2.20
G2F820,1992-02-14,21.7,11.2,92,2.2,0.5,11.65
G2F820,1992-02-15,19.3,13.3,97,3.2,36.0,2.40
G2F820,1992-02-16,17.1,12.7,88,1.8,3.5,4.20
G2F820,1992-02-17,18.6,12.9,95,2.2,2.5,5.70
G2F820,1992-02-18,22.1,14.7,94,2.8,0.0,7.70
G2F820,1992-02-19,17.8,13.0,95,3.2,11.5,4.10
G2F820,1992-02-20,15.7,12.0,86,5.2,11.0,6.20
G2F820,1992-02-21,19.4,11.8,80,2.1,0.0,4.90
G2F820,1992-02-22,14.5,12.6,92,1.9,5.0,1.20
G2F820,1992-02-23,16.9,11.4,90,2.8,3.5,5.40
G2F820,1992-02-24,20.5,8.8,76,2.9,0.0,15.70
G2F820,1992-02-25,21.8,8.4,73,2.3,0.0,17.10
G2F820,1992-02-26,22.6,10.3,73,1.8,0.0,14.53
G2F820,1992-02-27,24.6,10.5,70,1.7,0.0,15.94
G2F820,1992-02-28,26.9,11.6,71,1.6,0.0,15.90
G2F820,1992-02-29,27.8,15.0,75,2.4,0.0,15.70
G2F820,1992-03-01,24.0,18.5,85,1.8,0.0,5.40
G2F820,1992-03-02,28.6,19.5,83,2.3,6.0,12.86
G2F820,1992-03-03,25.3,17.5,87,2.7,0.5,5.36
G2F820,1992-03-04,25.8,17.4,87,2.2,9.5,10.60
G2F820,1992-03-05,19.8,12.6,91,3.1,27.5,3.24
G2F820,1992-03-06,14.0,9.8,90,3.1,10.5,1.92
G2F820,1992-03-07,13.4,9.8,96,1.9,18.0,1.50
G2F820,1992-03-08,18.7,13.4,94,2.0,3.5,4.50
G2F820,1992-03-09,22.0,14.7,91,2.3,8.0,6.20
G2F820,1992-03-10,19.6,15.4,94,2.1,15.0,3.30
G2F820,1992-03-11,24.4,15.4,88,2.4,10.5,12.90
G2F820,1992-03-12,25.2,16.3,87,2.0,0.0,12.70
G2F820,1992-03-13,27.5,17.1,81,1.8,0.0,14.10
G2F820,1992-03-14,28.8,17.3,78,1.5,0.0,14.10
G2F820,1992-03-15,32.1,19.3,71,3.8,0.0,18.30
G2F820,1992-03-16,30.4,19.1,70,3.3,0.0,17.91
G2F820,1992-03-17,24.9,16.3,83,3.1,0.0,9.44
G2F820,1992-03-18,26.4,15.9,82,2.3,0.0,13.70
G2F820,1992-03-19,25.1,16.4,80,2.9,0.0,12.89
G2F820,1992-03-20,29.1,17.0,81,2.4,0.0,15.20
G2F820,1992-03-21,26.1,16.4,76,3.2,0.0,15.08
G2F820,1992-03-22,26.6,15.1,78,2.7,0.0,15.13
G2F820,1992-03-23,27.5,17.7,81,2.5,0.0,13.31
G2F820,1992-03-24,26.1,18.7,84,2.2,0.0,8.90
G2F820,1992-03-25,27.6,18.9,85,2.2,0.0,11.10
G2F820,1992-03-26,28.2,18.8,84,3.1,0.0,13.23
G2F820,1992-03-27,24.8,17.1,85,2.4,0.0,7.10
G2F820,1992-03-28,27.5,17.8,86,3.2,5.5,8.47
G2F820,1992-03-29,21.8,15.9,91,2.8,10.0,4.78
G2F820,1992-03-30,22.6,15.9,91,2.6,1.5,4.80
G2F820,1992-03-31,27.9,17.4,87,2.5,10.0,11.62
G2F820,1992-04-01,22.9,19.5,94,2.8,31.5,2.54
G2F820,1992-04-02,19.7,16.7,95,2.0,8.0,2.14
G2F820,1992-04-03,24.6,16.4,93,1.8,21.0,7.44
G2F820,1992-04-04,27.4,18.9,93,1.8,10.0,6.98
G2F820,1992-04-05,24.6,19.9,91,1.7,0.0,4.80
G2F820,1992-04-06,22.5,19.0,90,2.6,12.0,2.50
G2F820,1992-04-07,27.6,16.8,86,1.9,0.0,14.40
G2F820,1992-04-08,27.4,18.4,88,1.8,0.0,11.90
G2F820,1992-04-09,29.1,19.5,84,2.6,1.0,6.70
G2F820,1992-04-10,27.4,20.2,86,2.3,5.0,6.10
G2F820,1992-04-11,22.3,16.2,96,2.8,60.5,1.34
G2F820,1992-04-12,17.8,15.3,97,1.6,40.0,1.50
G2F820,1992-04-13,24.2,14.9,85,2.2,0.5,10.40
G2F820,1992-04-14,25.4,17.1,80,2.0,0.0,15.70
G2F820,1992-04-15,25.1,16.7,84,1.8,0.0,8.90
G2F820,1992-04-16,26.1,15.7,82,2.6,0.0,19.60
G2F820,1992-04-17,26.6,13.7,73,2.3,0.0,19.50
G2F820,1992-04-18,29.9,17.8,77,2.9,0.0,13.00
G2F820,1992-04-19,26.1,20.7,91,2.6,7.5,4.60
G2F820,1992-04-20,28.4,20.8,91,1.8,0.0,11.50
G2F820,1992-04-21,30.7,22.7,79,4.4,0.0,15.90
G2F820,1992-04-22,26.9,19.3,86,2.9,43.0,5.20
G2F820,1992-04-23,28.9,20.4,86,2.1,0.0,17.35
G2F820,1992-04-24,28.6,20.6,86,2.6,28.0,5.42
G2F820,1992-04-25,29.4,21.0,87,2.1,0.0,14.89
G2F820,1992-04-26,28.6,21.6,92,2.0,0.5,10.60
G2F820,1992-04-27,28.8,22.0,89,2.7,0.0,12.94
G2F820,1992-04-28,29.8,21.0,83,3.2,0.0,18.70
G2F820,1992-04-29,30.6,19.4,77,3.9,0.0,20.07
G2F820,1992-04-30,29.7,21.8,81,3.4,0.0,11.30
G2F820,1992-05-01,29.8,22.9,84,2.3,0.0,13.11
G2F820,1992-05-02,29.7,22.5,82,2.5,0.0,14.06
G2F820,1992-05-03,29.1,21.3,82,2.2,0.0,13.14
G2F820,1992-05-04,30.3,21.2,85,2.5,0.0,18.80
G2F820,1992-05-05,31.3,21.0,80,1.8,0.0,17.30
G2F820,1992-05-06,30.4,22.6,82,2.1,0.0,14.30
G2F820,1992-05-07,31.2,22.8,79,3.4,0.0,16.80
G2F820,1992-05-08,25.8,21.7,87,2.9,15.5,2.30
G2F820,1992-05-09,26.2,19.8,91,3.1,26.0,5.74
G2F820,1992-05-10,23.0,18.4,86,1.9,0.5,6.05
G2F820,1992-05-11,26.4,18.4,84,1.8,0.0,10.31
G2F820,1992-05-12,29.0,18.5,87,1.6,0.0,19.00
G2F820,1992-05-13,31.3,20.8,85,1.9,0.0,18.80
G2F820,1992-05-14,31.3,21.8,86,1.6,0.0,16.46
G2F820,1992-05-15,29.0,22.9,87,1.5,0.0,9.94
G2F820,1992-05-16,30.8,22.8,83,2.3,0.0,18.14
G2F820,1992-05-17,29.1,22.8,88,3.2,11.0,4.60
G2F820,1992-05-18,27.0,20.5,93,2.0,19.0,6.50
G2F820,1992-05-19,24.0,19.8,96,1.9,3.0,5.80
G2F820,1992-05-20,24.7,19.9,86,1.8,0.0,5.90
G2F820,1992-05-21,26.2,19.7,89,1.4,0.0,6.00
G2F820,1992-05-22,22.5,19.1,98,1.4,22.0,2.70
G2F820,1992-05-23,28.9,21.0,90,2.0,2.0,15.60
G2F820,1992-05-24,29.9,20.2,85,2.6,0.0,16.50
G2F820,1992-05-25,28.9,20.2,82,1.7,0.0,12.40
G2F820,1992-05-26,24.7,20.5,89,1.6,1.0,4.70
G2F820,1992-05-27,30.1,20.4,84,2.4,0.0,17.60
G2F820,1992-05-28,30.5,20.3,79,2.0,0.0,18.80
G2F820,1992-05-29,28.8,19.4,72,2.4,0.0,18.00
G2F820,1992-05-30,26.5,18.6,85,1.6,0.0,7.60
G2F820,1992-05-31,27.4,21.3,93,2.3,7.0,10.30
G2F820,1992-06-01,30.5,21.2,89,2.4,70.0,17.80
G2F820,1992-06-02,30.6,21.9,86,2.7,0.0,18.40
G2F820,1992-06-03,30.8,22.8,83,2.5,0.0,16.60
G2F820,1992-06-04,31.6,22.0,82,2.8,0.0,14.60
G2F820,1992-06-05,31.5,24.3,87,2.9,0.5,14.90
G2F820,1992-06-06,32.0,23.6,83,3.9,0.0,16.90
G2F820,1992-06-07,31.0,24.0,87,3.4,1.5,10.80
G2F820,1992-06-08,27.2,21.0,97,2.5,33.5,7.00
G2F820,1992-06-09,26.4,21.2,97,2.5,17.5,4.53
G2F820,1992-06-10,28.5,22.8,90,2.8,2.5,5.89
G2F820,1992-06-11,31.1,21.1,87,2.0,0.0,8.10
G2F820,1992-06-12,29.9,23.2,85,1.5,0.0,11.70
G2F820,1992-06-13,28.7,24.3,87,1.8,0.0,8.70
G2F820,1992-06-14,32.0,23.5,78,3.0,0.0,13.18
G2F820,1992-06-15,31.9,23.8,77,3.4,0.0,17.20
G2F820,1992-06-16,30.8,24.0,79,3.2,3.5,11.00
G2F820,1992-06-17,32.2,24.4,76,3.9,0.0,17.50
G2F820,1992-06-18,29.2,23.0,88,2.1,19.5,9.30
G2F820,1992-06-19,31.8,24.1,85,2.1,0.0,14.00
G2F820,1992-06-20,31.5,23.9,87,1.9,0.0,12.80
G2F820,1992-06-21,31.9,24.0,83,1.9,0.0,15.30
G2F820,1992-06-22,31.3,23.8,81,3.5,0.0,16.40
G2F820,1992-06-23,32.4,24.1,76,3.3,0.0,17.87
G2F820,1992-06-24,33.2,23.9,80,2.2,0.0,18.46
G2F820,1992-06-25,34.0,23.8,82,2.7,0.0,20.10
G2F820,1992-06-26,33.8,24.3,86,2.4,0.0,16.10
G2F820,1992-06-27,33.2,26.2,83,2.5,0.0,14.70
G2F820,1992-06-28,32.3,25.0,85,3.1,0.0,14.19
G2F820,1992-06-29,33.9,24.5,85,2.2,7.5,14.60
G2F820,1992-06-30,33.5,24.4,78,3.5,0.0,16.70
G2F820,1992-07-01,34.4,24.8,77,3.7,0.0,16.40
G2F820,1992-07-02,33.7,25.1,80,4.1,0.0,18.50
G2F820,1992-07-03,33.6,26.1,78,3.9,0.5,11.30
G2F820,1992-07-04,28.3,24.4,88,4.2,20.5,5.70
G2F820,1992-07-05,28.6,23.9,88,4.2,11.5,5.80
G2F820,1992-07-06,29.7,23.7,92,5.7,51.5,6.00
G2F820,1992-07-07,28.1,22.8,94,5.0,143.0,4.60
G2F820,1992-07-08,32.2,22.6,88,4.4,20.0,11.40
G2F820,1992-07-09,32.8,23.3,82,3.1,5.0,20.00
G2F820,1992-07-10,32.3,24.0,83,2.7,0.0,19.70
G2F820,1992-07-11,32.7,22.2,82,2.1,0.0,20.50
G2F820,1992-07-12,32.9,23.9,86,1.8,0.0,15.20
G2F820,1992-07-13,33.3,22.7,79,3.2,0.0,18.50
G2F820,1992-07-14,33.0,23.8,85,2.1,0.0,16.00
G2F820,1992-07-15,33.1,24.5,83,2.2,0.0,16.20
G2F820,1992-07-16,33.6,24.6,78,2.0,0.0,18.50
G2F820,1992-07-17,33.5,23.8,87,2.6,34.0,13.00
G2F820,1992-07-18,32.4,23.3,88,3.0,4.0,14.90
G2F820,1992-07-19,33.2,24.4,86,2.5,0.0,16.40
G2F820,1992-07-20,32.0,25.0,89,2.4,0.0,11.00
G2F820,1992-07-21,34.2,24.6,84,2.2,0.0,17.10
G2F820,1992-07-22,33.6,24.4,87,2.8,0.0,17.80
G2F820,1992-07-23,31.8,24.4,86,3.3,0.0,12.70
G2F820,1992-07-24,32.9,24.0,84,3.2,2.0,18.00
G2F820,1992-07-25,33.2,22.8,86,2.9,23.5,18.60
G2F820,1992-07-26,33.0,23.4,84,2.6,0.0,20.50
G2F820,1992-07-27,33.2,24.3,83,2.7,0.0,18.90
G2F820,1992-07-28,33.3,24.7,88,2.6,0.0,18.30
G2F820,1992-07-29,34.5,25.8,84,1.9,0.0,18.90
G2F820,1992-07-30,33.0,25.9,90,2.8,2.5,17.20
G2F820,1992-07-31,33.2,24.8,86,2.7,0.0,17.40
G2F820,1992-08-01,31.4,24.7,88,2.4,0.0,12.42
G2F820,1992-08-02,32.9,24.4,86,2.0,0.0,15.94
G2F820,1992-08-03,34.2,25.7,85,2.0,0.0,18.50
G2F820,1992-08-04,33.3,25.7,87,2.2,0.0,17.10
G2F820,1992-08-05,32.6,24.6,88,2.8,12.0,18.70
G2F820,1992-08-06,32.7,25.4,84,2.5,0.0,17.94
G2F820,1992-08-07,33.5,25.8,86,3.0,0.0,18.68
G2F820,1992-08-08,33.9,24.3,87,3.4,15.0,18.60
G2F820,1992-08-09,33.1,23.4,87,2.4,0.0,18.40
