測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2000-01-01,26.7,13.6,82,1.2,0.0,11.04
G2F820,2000-01-02,26.9,10.8,77,1.1,0.0,11.37
G2F820,2000-01-03,24.7,12.7,85,0.8,0.0,9.10
G2F820,2000-01-04,23.6,10.9,91,0.5,0.0,9.27
G2F820,2000-01-05,27.5,13.4,85,0.8,0.0,9.53
G2F820,2000-01-06,28.5,12.7,85,0.9,0.0,10.63
G2F820,2000-01-07,25.7,13.5,89,0.9,0.0,9.90
G2F820,2000-01-08,25.5,12.7,91,1.2,0.0,10.87
G2F820,2000-01-09,27.6,14.6,88,1.2,0.0,8.77
G2F820,2000-01-10,28.4,17.2,88,0.7,0.0,7.86
G2F820,2000-01-11,28.2,14.8,89,1.1,0.0,10.61
G2F820,2000-01-12,28.7,16.0,87,1.4,0.0,10.29
G2F820,2000-01-13,27.4,15.2,91,1.1,0.0,9.70
G2F820,2000-01-14,24.5,15.8,93,1.4,0.0,9.40
G2F820,2000-01-15,20.1,14.8,98,0.8,0.0,3.01
G2F820,2000-01-16,25.7,13.4,91,1.4,0.0,10.84
G2F820,2000-01-17,22.4,13.3,88,2.7,0.0,10.29
G2F820,2000-01-18,15.7,11.7,91,3.9,0.5,3.58
G2F820,2000-01-19,16.0,11.6,79,3.6,0.0,4.60
G2F820,2000-01-20,21.4,9.5,76,1.7,0.0,10.44
G2F820,2000-01-21,24.5,11.6,80,0.9,0.0,8.99
G2F820,2000-01-22,24.6,14.6,87,1.4,0.0,9.60
G2F820,2000-01-23,24.1,14.8,92,1.0,0.0,4.80
G2F820,2000-01-24,23.2,14.7,97,1.5,3.5,5.12
G2F820,2000-01-25,16.8,10.5,100,3.9,10.0,2.11
G2F820,2000-01-26,13.1,9.9,93,3.5,4.0,2.15
G2F820,2000-01-27,12.3,9.7,84,2.9,0.0,2.28
G2F820,2000-01-28,20.7,9.6,84,1.2,0.0,12.14
G2F820,2000-01-29,22.0,8.9,89,1.3,0.0,11.56
G2F820,2000-01-30,17.1,11.2,91,3.6,0.0,7.53
G2F820,2000-01-31,20.5,11.0,83,2.3,0.0,9.01
G2F820,2000-02-01,18.8,12.5,91,2.0,0.0,8.58
G2F820,2000-02-02,22.2,10.9,92,1.6,0.0,11.81
G2F820,2000-02-03,22.4,14.6,93,2.0,0.0,12.04
G2F820,2000-02-04,26.6,15.2,88,1.6,0.0,12.67
G2F820,2000-02-05,21.3,14.2,98,1.1,0.0,5.46
G2F820,2000-02-06,24.9,14.1,89,1.7,0.0,13.14
G2F820,2000-02-07,24.5,11.8,86,2.9,0.0,13.08
G2F820,2000-02-08,19.3,11.8,75,1.7,0.0,7.75
G2F820,2000-02-09,18.7,12.2,81,0.4,0.0,3.88
G2F820,2000-02-10,22.3,13.5,87,1.8,0.0,11.39
G2F820,2000-02-11,25.1,13.1,88,1.6,0.0,12.16
G2F820,2000-02-12,25.0,16.2,91,1.9,0.0,12.08
G2F820,2000-02-13,25.9,15.5,93,1.0,0.0,11.33
G2F820,2000-02-14,26.1,15.0,92,2.1,0.0,11.86
G2F820,2000-02-15,21.7,14.5,76,2.8,0.0,11.12
G2F820,2000-02-16,20.2,14.3,82,0.7,0.0,4.57
G2F820,2000-02-17,19.4,14.6,93,1.7,0.0,3.79
G2F820,2000-02-18,23.5,14.7,93,1.1,0.0,9.48
G2F820,2000-02-19,25.1,18.3,89,1.7,0.0,2.70
G2F820,2000-02-20,22.3,13.7,100,1.9,20.5,1.23
G2F820,2000-02-21,14.9,13.1,100,1.1,69.5,1.05
G2F820,2000-02-22,18.7,13.9,99,1.8,2.0,5.69
G2F820,2000-02-23,16.3,14.5,100,1.9,77.0,1.64
G2F820,2000-02-24,18.1,14.5,98,1.4,0.0,2.86
G2F820,2000-02-25,15.9,12.1,100,3.0,33.0,2.29
G2F820,2000-02-26,12.9,11.4,90,3.8,0.0,1.53
G2F820,2000-02-27,17.1,11.4,98,0.6,0.5,3.20
G2F820,2000-02-28,18.3,13.9,98,2.5,1.0,3.68
G2F820,2000-02-29,19.1,14.0,93,2.2,0.0,5.42
G2F820,2000-03-01,20.0,14.0,98,2.7,1.5,5.76
G2F820,2000-03-02,18.7,15.1,100,1.5,1.0,2.65
G2F820,2000-03-03,23.3,15.3,97,1.6,0.0,10.38
G2F820,2000-03-04,28.7,15.8,87,1.5,0.0,14.36
G2F820,2000-03-05,27.4,18.3,92,1.7,0.0,10.68
G2F820,2000-03-06,27.7,17.5,91,2.1,0.0,13.47
G2F820,2000-03-07,25.0,16.9,88,2.4,0.0,10.82
G2F820,2000-03-08,23.7,15.7,89,2.7,0.0,10.24
G2F820,2000-03-09,24.3,15.0,92,2.4,0.0,13.19
G2F820,2000-03-10,20.7,14.7,98,2.5,0.0,8.71
G2F820,2000-03-11,25.1,14.7,98,2.3,10.5,5.75
G2F820,2000-03-12,19.4,15.0,100,2.8,5.5,4.62
G2F820,2000-03-13,20.2,15.0,100,2.9,16.5,5.13
G2F820,2000-03-14,20.4,14.9,99,1.5,0.0,4.16
G2F820,2000-03-15,24.6,15.4,97,1.8,0.0,12.82
G2F820,2000-03-16,25.7,16.7,89,3.5,0.0,12.27
G2F820,2000-03-17,20.3,14.9,90,2.0,0.0,3.98
G2F820,2000-03-18,24.9,15.0,94,1.7,0.0,10.31
G2F820,2000-03-19,27.0,16.9,85,3.1,0.0,14.85
G2F820,2000-03-20,26.2,16.8,88,1.7,0.0,14.16
G2F820,2000-03-21,27.1,15.5,87,1.6,0.0,13.90
G2F820,2000-03-22,25.3,16.5,91,2.1,0.0,13.77
G2F820,2000-03-23,25.1,16.7,95,2.3,0.0,11.64
G2F820,2000-03-24,20.5,16.0,86,2.7,0.0,5.29
G2F820,2000-03-25,25.0,14.7,88,2.2,0.0,10.21
G2F820,2000-03-26,24.9,17.6,88,1.9,0.0,11.31
G2F820,2000-03-27,24.4,17.1,90,1.9,0.0,8.55
G2F820,2000-03-28,28.7,15.6,84,1.4,0.0,15.80
G2F820,2000-03-29,27.6,14.0,81,1.6,0.0,14.19
G2F820,2000-03-30,27.3,16.6,82,1.8,0.0,13.93
G2F820,2000-03-31,28.8,17.1,82,1.5,0.0,12.16
G2F820,2000-04-01,24.6,20.0,99,2.0,66.5,2.31
G2F820,2000-04-02,28.3,19.0,93,2.4,0.0,15.98
G2F820,2000-04-03,28.9,19.5,95,2.3,4.0,11.06
G2F820,2000-04-04,27.3,20.8,97,2.0,6.0,9.82
G2F820,2000-04-05,22.8,17.7,99,2.5,4.0,3.82
G2F820,2000-04-06,24.5,17.1,96,1.7,0.0,7.60
G2F820,2000-04-07,26.2,17.9,95,2.5,0.0,11.26
G2F820,2000-04-08,28.0,18.8,94,2.1,0.0,14.71
G2F820,2000-04-09,30.1,19.5,95,1.8,0.0,12.97
G2F820,2000-04-10,27.1,18.6,95,1.9,0.0,8.40
G2F820,2000-04-11,25.5,17.7,87,1.8,0.0,10.04
G2F820,2000-04-12,27.3,18.2,92,1.4,0.0,9.49
G2F820,2000-04-13,28.1,20.4,95,1.6,0.0,8.75
G2F820,2000-04-14,28.1,21.9,93,2.1,0.0,7.32
G2F820,2000-04-15,24.2,17.5,99,2.2,7.5,2.44
G2F820,2000-04-16,24.3,15.2,84,2.4,0.0,14.60
G2F820,2000-04-17,26.3,13.8,81,0.9,0.0,17.43
G2F820,2000-04-18,28.3,15.8,82,1.0,0.0,17.84
G2F820,2000-04-19,30.4,19.3,87,1.3,0.0,12.60
G2F820,2000-04-20,30.4,21.3,87,0.5,0.0,13.97
G2F820,2000-04-21,30.2,22.2,87,1.0,0.0,15.21
G2F820,2000-04-22,27.2,18.8,94,1.1,18.0,4.48
G2F820,2000-04-23,24.3,19.3,98,0.6,36.5,4.65
G2F820,2000-04-24,26.1,20.4,98,0.1,15.0,5.03
G2F820,2000-04-25,29.5,22.5,92,1.9,5.0,7.71
G2F820,2000-04-26,29.5,24.0,87,3.3,0.0,6.08
G2F820,2000-04-27,25.5,21.0,95,1.4,9.0,4.23
G2F820,2000-04-28,22.1,20.0,100,0.5,53.0,2.34
G2F820,2000-04-29,26.1,20.6,99,0.5,6.0,5.17
G2F820,2000-04-30,28.9,22.6,95,1.3,0.5,5.56
G2F820,2000-05-01,29.6,22.8,96,0.8,0.5,9.25
G2F820,2000-05-02,25.8,20.0,99,0.9,16.0,4.46
G2F820,2000-05-03,25.4,19.7,97,0.2,0.0,5.10
G2F820,2000-05-04,29.0,21.8,94,0.2,9.5,9.22
G2F820,2000-05-05,29.7,21.6,89,1.0,0.0,11.95
G2F820,2000-05-06,29.6,20.2,85,1.3,0.0,17.90
G2F820,2000-05-07,29.5,20.3,85,1.6,0.0,16.16
G2F820,2000-05-08,30.1,20.5,85,1.0,0.0,16.69
G2F820,2000-05-09,30.0,21.9,88,1.6,0.0,15.49
G2F820,2000-05-10,28.6,20.3,88,1.4,0.0,12.77
G2F820,2000-05-11,30.0,21.3,84,0.7,0.0,13.19
G2F820,2000-05-12,28.2,21.7,87,1.1,0.0,7.97
G2F820,2000-05-13,30.6,18.5,82,1.4,0.0,17.83
G2F820,2000-05-14,30.6,21.3,90,0.8,0.0,14.88
G2F820,2000-05-15,30.7,21.8,88,0.8,0.0,17.32
G2F820,2000-05-16,30.5,22.3,90,1.3,0.0,16.76
G2F820,2000-05-17,31.6,22.4,89,1.7,0.0,16.14
G2F820,2000-05-18,31.8,22.0,88,0.7,0.0,15.29
G2F820,2000-05-19,27.6,21.2,91,1.2,3.5,8.85
G2F820,2000-05-20,25.6,21.4,96,0.1,0.5,4.14
G2F820,2000-05-21,28.0,21.6,93,0.3,0.0,7.09
G2F820,2000-05-22,30.6,22.2,89,0.5,0.0,11.86
G2F820,2000-05-23,31.1,23.0,86,1.3,0.0,17.16
G2F820,2000-05-24,31.1,22.8,89,1.2,0.0,17.27
G2F820,2000-05-25,32.6,22.2,88,0.9,0.5,16.42
G2F820,2000-05-26,32.4,24.3,94,2.0,1.0,13.60
G2F820,2000-05-27,31.0,24.0,94,1.9,1.0,9.28
G2F820,2000-05-28,32.6,24.0,96,1.3,2.0,13.27
G2F820,2000-05-29,32.9,22.7,93,0.9,4.0,14.91
G2F820,2000-05-30,32.1,22.6,93,1.0,0.0,17.39
G2F820,2000-05-31,34.1,24.3,87,2.5,0.0,17.25
G2F820,2000-06-01,34.5,23.8,85,1.6,0.0,18.98
G2F820,2000-06-02,33.4,24.8,90,1.6,0.0,16.84
G2F820,2000-06-03,32.8,26.1,93,1.4,0.0,16.72
G2F820,2000-06-04,34.7,26.1,89,2.3,0.0,18.32
G2F820,2000-06-05,35.2,24.7,90,2.8,1.0,16.97
G2F820,2000-06-06,30.3,23.7,98,1.9,18.0,7.21
G2F820,2000-06-07,32.1,23.5,94,2.2,13.0,14.15
G2F820,2000-06-08,33.2,23.1,88,3.8,0.0,17.53
G2F820,2000-06-09,32.6,24.5,89,2.9,0.0,11.87
G2F820,2000-06-10,32.8,24.5,91,3.1,0.0,11.20
G2F820,2000-06-11,31.3,25.1,92,2.7,1.5,7.28
G2F820,2000-06-12,30.3,21.1,96,1.7,46.0,4.05
G2F820,2000-06-13,21.1,18.4,100,1.7,78.5,2.36
G2F820,2000-06-14,24.8,19.9,100,0.2,2.0,4.51
G2F820,2000-06-15,26.0,21.9,100,0.5,5.0,6.67
G2F820,2000-06-16,30.3,22.6,99,0.6,1.0,7.15
G2F820,2000-06-17,26.8,24.0,100,0.1,12.0,3.59
G2F820,2000-06-18,33.9,23.0,93,1.2,3.5,15.43
G2F820,2000-06-19,32.9,23.6,96,1.2,8.5,11.07
G2F820,2000-06-20,34.2,23.2,92,2.9,1.5,17.17
G2F820,2000-06-21,33.0,23.4,92,2.8,0.0,17.13
G2F820,2000-06-22,33.6,23.9,89,2.9,0.0,18.17
G2F820,2000-06-23,33.4,25.0,88,2.6,0.0,16.32
G2F820,2000-06-24,33.6,24.2,89,2.9,0.0,17.54
