測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2020-01-01,21.7,14.1,82,1.4,0.0,10.38
G2F820,2020-01-02,25.0,13.1,85,1.5,0.0,17.04
G2F820,2020-01-03,24.8,13.9,86,1.2,0.0,15.99
G2F820,2020-01-04,24.5,15.1,87,1.1,0.0,13.31
G2F820,2020-01-05,25.1,15.2,85,1.4,0.0,15.64
G2F820,2020-01-06,24.2,16.8,88,0.9,0.0,12.65
G2F820,2020-01-07,27.6,15.7,81,1.2,0.0,15.58
G2F820,2020-01-08,27.4,13.9,77,1.2,0.0,17.71
G2F820,2020-01-09,25.7,13.2,81,1.4,0.0,15.60
G2F820,2020-01-10,25.3,14.2,83,1.5,0.0,14.61
G2F820,2020-01-11,24.6,13.9,85,1.6,0.0,15.27
G2F820,2020-01-12,22.0,13.7,80,2.2,0.0,18.00
G2F820,2020-01-13,23.8,12.9,78,1.7,0.0,15.82
G2F820,2020-01-14,25.4,12.8,79,1.8,0.0,17.96
G2F820,2020-01-15,24.6,11.4,81,1.7,0.0,18.10
G2F820,2020-01-16,25.8,12.9,79,1.4,0.0,17.18
G2F820,2020-01-17,22.3,12.7,81,2.6,0.0,18.09
G2F820,2020-01-18,22.2,11.2,77,1.7,0.0,17.09
G2F820,2020-01-19,23.2,12.8,80,1.6,0.0,17.00
G2F820,2020-01-20,26.4,12.0,78,1.7,0.0,17.56
G2F820,2020-01-21,25.9,10.8,76,1.5,0.0,18.19
G2F820,2020-01-22,28.1,14.2,72,1.7,0.0,15.16
G2F820,2020-01-23,29.4,15.8,76,1.7,0.0,18.33
G2F820,2020-01-24,26.9,18.2,81,2.1,0.0,18.28
G2F820,2020-01-25,27.3,16.5,80,2.3,0.0,15.49
G2F820,2020-01-26,20.2,15.6,94,2.6,24.5,4.61
G2F820,2020-01-27,21.0,14.1,80,2.7,0.0,13.38
G2F820,2020-01-28,17.1,13.3,80,2.7,0.0,5.28
G2F820,2020-01-29,17.2,9.7,72,3.0,0.0,10.68
G2F820,2020-01-30,17.5,6.4,63,3.6,0.0,20.91
G2F820,2020-01-31,20.7,4.4,66,1.5,0.0,20.94
G2F820,2020-02-01,21.5,7.0,72,1.4,0.0,19.49
G2F820,2020-02-02,23.4,8.6,71,1.5,0.0,18.43
G2F820,2020-02-03,23.5,11.0,78,2.0,0.0,19.20
G2F820,2020-02-04,17.8,13.9,90,2.0,0.0,3.01
G2F820,2020-02-05,23.3,13.2,80,2.7,0.5,20.34
G2F820,2020-02-06,25.5,11.7,81,1.9,0.0,18.28
G2F820,2020-02-07,24.3,14.0,79,3.3,0.0,18.99
G2F820,2020-02-08,23.0,12.5,76,2.5,0.0,20.14
G2F820,2020-02-09,20.4,12.7,76,2.3,0.0,12.36
G2F820,2020-02-10,24.3,11.3,77,1.5,0.0,18.40
G2F820,2020-02-11,23.3,14.4,81,1.2,0.0,9.26
G2F820,2020-02-12,29.3,15.4,71,1.7,0.0,19.14
G2F820,2020-02-13,28.6,16.9,76,2.4,0.0,13.54
G2F820,2020-02-14,28.8,17.5,78,1.5,0.0,15.68
G2F820,2020-02-15,30.1,18.1,82,1.5,0.0,16.54
G2F820,2020-02-16,23.3,12.2,86,3.1,0.0,4.06
G2F820,2020-02-17,18.2,8.8,64,3.4,0.5,15.09
G2F820,2020-02-18,21.5,7.7,65,1.4,0.0,17.78
G2F820,2020-02-19,22.6,9.1,76,1.5,0.0,20.80
G2F820,2020-02-20,23.8,11.6,81,1.4,0.0,18.86
G2F820,2020-02-21,23.4,14.1,85,1.7,0.0,18.66
G2F820,2020-02-22,25.3,13.8,81,1.2,0.0,19.49
G2F820,2020-02-23,26.9,14.8,80,1.5,0.0,21.38
G2F820,2020-02-24,26.4,14.9,83,1.5,0.0,21.13
G2F820,2020-02-25,28.9,15.8,74,2.1,0.0,22.94
G2F820,2020-02-26,28.8,16.8,76,2.1,0.0,23.28
G2F820,2020-02-27,27.2,17.7,78,1.9,0.0,21.25
G2F820,2020-02-28,26.5,17.4,81,1.5,0.0,19.64
G2F820,2020-02-29,29.2,17.7,77,1.3,0.0,16.20
G2F820,2020-03-01,28.4,18.4,81,1.9,0.0,21.66
G2F820,2020-03-02,26.1,17.8,71,2.3,0.0,21.40
G2F820,2020-03-03,27.8,15.4,70,2.1,0.0,22.84
G2F820,2020-03-04,25.0,16.3,75,3.2,0.0,21.11
G2F820,2020-03-05,20.8,14.7,83,2.8,5.0,11.21
G2F820,2020-03-06,25.6,15.3,79,1.4,0.0,16.59
G2F820,2020-03-07,28.6,17.6,78,1.8,0.0,22.00
G2F820,2020-03-08,27.6,18.2,84,1.9,0.0,18.58
G2F820,2020-03-09,32.0,19.3,74,3.2,0.0,22.80
G2F820,2020-03-10,24.5,17.0,85,2.5,26.0,8.63
G2F820,2020-03-11,24.5,16.1,70,1.6,0.0,14.12
G2F820,2020-03-12,25.2,18.2,80,0.0,0.0,0.00
G2F820,2020-03-13,28.4,19.0,85,2.0,0.0,14.11
G2F820,2020-03-14,21.3,15.3,86,2.5,4.0,4.19
G2F820,2020-03-15,24.2,12.4,72,1.4,0.5,20.74
G2F820,2020-03-16,26.1,14.3,68,1.9,0.0,23.76
G2F820,2020-03-17,27.1,16.9,68,2.2,0.0,22.41
G2F820,2020-03-18,24.8,18.0,78,1.6,0.0,10.81
G2F820,2020-03-19,26.5,19.3,85,1.7,1.0,11.68
G2F820,2020-03-20,26.9,19.7,84,1.7,0.0,15.07
G2F820,2020-03-21,28.3,19.1,81,1.6,0.0,18.17
G2F820,2020-03-22,29.8,21.3,76,2.1,0.0,19.45
G2F820,2020-03-23,29.5,20.4,78,2.0,0.0,22.18
G2F820,2020-03-24,27.5,19.9,78,1.7,0.0,17.48
G2F820,2020-03-25,29.1,20.3,82,1.7,0.0,23.89
G2F820,2020-03-26,31.9,20.5,75,1.8,0.0,23.81
G2F820,2020-03-27,31.5,21.9,74,2.4,0.0,23.65
G2F820,2020-03-28,26.2,16.3,81,3.0,0.0,13.75
G2F820,2020-03-29,26.8,15.3,73,2.0,0.0,18.85
G2F820,2020-03-30,26.5,19.6,81,1.8,0.0,11.70
G2F820,2020-03-31,29.6,19.4,81,1.8,0.0,18.15
G2F820,2020-04-01,26.2,18.2,77,2.8,0.0,20.58
G2F820,2020-04-02,23.8,17.1,85,2.2,6.5,9.07
G2F820,2020-04-03,26.9,18.8,86,2.3,0.0,16.16
G2F820,2020-04-04,24.7,17.7,79,3.0,0.0,17.70
G2F820,2020-04-05,21.9,16.0,80,2.0,2.5,7.01
G2F820,2020-04-06,21.0,15.8,90,1.6,10.5,6.85
G2F820,2020-04-07,24.5,16.0,83,2.6,6.5,23.59
G2F820,2020-04-08,25.8,15.3,79,1.2,0.0,18.29
G2F820,2020-04-09,28.0,18.3,73,1.9,0.0,22.11
G2F820,2020-04-10,28.8,17.6,72,1.7,0.0,24.91
G2F820,2020-04-11,26.6,19.2,79,2.1,2.5,9.04
G2F820,2020-04-12,22.1,12.4,70,3.9,3.0,23.99
