測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2011-01-01,20.0,5.3,69,2.1,0.0,9.83
G2F820,2011-01-02,20.8,6.8,76,1.9,0.0,9.94
G2F820,2011-01-03,17.0,11.1,84,2.2,0.0,3.48
G2F820,2011-01-04,20.0,12.7,77,2.9,0.0,8.54
G2F820,2011-01-05,23.4,12.4,82,2.7,0.5,10.11
G2F820,2011-01-06,18.5,12.1,81,4.2,0.0,5.35
G2F820,2011-01-07,18.5,11.2,71,3.4,0.0,7.42
G2F820,2011-01-08,21.8,12.7,78,1.8,0.0,7.61
G2F820,2011-01-09,21.6,13.9,78,3.4,0.0,7.39
G2F820,2011-01-10,17.1,12.7,76,3.4,0.0,4.54
G2F820,2011-01-11,14.6,9.7,87,3.8,5.5,2.59
G2F820,2011-01-12,11.6,8.9,96,2.5,15.0,2.03
G2F820,2011-01-13,21.5,10.9,87,2.0,0.0,8.47
G2F820,2011-01-14,22.6,13.5,89,2.5,0.0,8.82
G2F820,2011-01-15,17.5,10.6,76,6.0,0.0,10.19
G2F820,2011-01-16,12.3,8.6,70,3.6,0.0,2.72
G2F820,2011-01-17,20.9,9.8,74,1.8,0.0,11.14
G2F820,2011-01-18,21.7,7.7,84,1.8,0.0,7.76
G2F820,2011-01-19,24.0,13.2,83,2.7,0.0,11.03
G2F820,2011-01-20,21.2,12.5,88,2.0,0.0,5.00
G2F820,2011-01-21,20.3,13.5,87,4.2,7.5,6.09
G2F820,2011-01-22,17.7,12.9,83,1.7,0.0,3.09
G2F820,2011-01-23,22.7,12.5,83,2.9,0.0,11.26
G2F820,2011-01-24,20.0,12.6,77,3.6,0.0,7.86
G2F820,2011-01-25,21.1,11.9,78,2.4,0.0,9.81
G2F820,2011-01-26,22.8,10.8,82,2.6,0.0,11.94
G2F820,2011-01-27,24.4,11.3,82,2.5,0.0,12.49
G2F820,2011-01-28,21.0,13.3,81,3.7,0.0,9.32
G2F820,2011-01-29,16.6,12.1,72,5.2,0.0,6.13
G2F820,2011-01-30,19.9,11.3,72,3.9,0.0,8.33
G2F820,2011-01-31,17.7,9.0,72,3.1,0.0,7.38
G2F820,2011-02-01,22.3,9.2,76,2.8,0.0,11.26
G2F820,2011-02-02,20.2,11.5,83,2.8,0.0,12.05
G2F820,2011-02-03,24.4,9.8,81,1.7,0.0,12.79
G2F820,2011-02-04,24.8,10.8,78,2.2,0.0,13.03
G2F820,2011-02-05,26.7,10.8,73,1.9,0.0,13.49
G2F820,2011-02-06,25.4,10.8,73,2.1,0.0,13.34
G2F820,2011-02-07,26.6,11.3,67,2.1,0.0,13.38
G2F820,2011-02-08,26.7,14.3,67,1.9,0.0,10.34
G2F820,2011-02-09,26.3,11.6,76,1.9,0.0,12.75
G2F820,2011-02-10,26.8,15.1,80,2.5,0.0,10.82
G2F820,2011-02-11,20.5,12.4,76,4.5,0.0,10.62
G2F820,2011-02-12,16.6,12.1,69,2.1,0.0,3.14
G2F820,2011-02-13,20.0,11.1,82,3.4,4.0,5.57
G2F820,2011-02-14,13.0,10.5,86,4.3,3.5,3.61
G2F820,2011-02-15,19.0,10.9,78,2.0,0.5,6.15
G2F820,2011-02-16,21.3,13.2,87,1.7,0.0,7.66
G2F820,2011-02-17,27.2,14.1,82,2.3,0.5,12.05
G2F820,2011-02-18,20.1,14.7,83,3.1,0.0,8.58
G2F820,2011-02-19,17.2,13.7,88,2.5,1.0,2.32
G2F820,2011-02-20,19.9,13.2,86,3.4,7.5,10.33
G2F820,2011-02-21,18.2,11.6,84,2.4,0.0,4.12
G2F820,2011-02-22,23.4,11.0,82,2.1,0.0,13.13
G2F820,2011-02-23,25.2,14.7,80,2.2,0.0,10.55
G2F820,2011-02-24,24.4,16.2,82,2.0,1.0,7.43
G2F820,2011-02-25,26.7,15.2,81,2.3,0.0,13.15
G2F820,2011-02-26,25.3,15.2,82,2.0,0.0,12.35
G2F820,2011-02-27,26.6,14.8,85,1.9,0.0,10.93
G2F820,2011-02-28,27.4,15.1,80,2.3,0.0,13.96
G2F820,2011-03-01,24.7,15.1,82,2.4,0.0,12.70
G2F820,2011-03-02,23.0,14.8,73,3.3,0.0,11.21
G2F820,2011-03-03,22.6,13.7,74,3.7,0.0,11.90
G2F820,2011-03-04,20.6,12.9,70,3.4,0.0,11.52
G2F820,2011-03-05,23.0,14.2,74,2.1,0.0,10.46
G2F820,2011-03-06,27.3,15.1,74,1.7,0.0,8.03
G2F820,2011-03-07,20.8,13.5,75,4.2,5.0,8.12
G2F820,2011-03-08,18.1,13.5,69,1.4,0.0,2.96
G2F820,2011-03-09,23.5,13.2,78,1.8,0.0,9.96
G2F820,2011-03-10,22.0,16.2,83,2.1,0.0,5.55
G2F820,2011-03-11,21.5,15.4,86,1.8,0.0,5.29
G2F820,2011-03-12,24.9,16.6,80,2.1,0.0,11.25
G2F820,2011-03-13,28.6,15.2,77,1.9,0.0,14.06
G2F820,2011-03-14,27.9,17.3,77,2.0,0.0,12.00
G2F820,2011-03-15,26.5,14.7,77,3.1,0.0,11.95
G2F820,2011-03-16,21.5,12.8,60,4.0,0.0,8.77
G2F820,2011-03-17,23.6,13.8,60,2.3,0.0,10.19
G2F820,2011-03-18,22.1,17.1,78,1.9,1.5,5.33
G2F820,2011-03-19,24.4,17.1,86,1.8,2.0,7.72
G2F820,2011-03-20,30.8,19.1,78,2.4,0.0,14.72
G2F820,2011-03-21,30.4,21.8,80,2.4,0.0,10.79
G2F820,2011-03-22,21.8,14.8,74,4.7,0.0,9.99
G2F820,2011-03-23,20.3,13.7,73,3.1,0.0,6.48
G2F820,2011-03-24,19.7,14.8,71,3.4,0.0,6.81
G2F820,2011-03-25,20.2,13.9,69,2.9,0.0,5.27
G2F820,2011-03-26,17.2,13.6,74,2.6,0.0,3.33
G2F820,2011-03-27,13.8,11.7,91,2.6,10.5,0.86
G2F820,2011-03-28,20.3,11.5,84,2.2,8.5,8.18
