測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2005-01-01,14.3,6.1,55,4.0,0.0,9.19
G2F820,2005-01-02,20.4,6.9,68,1.8,0.0,9.32
G2F820,2005-01-03,21.7,7.9,75,1.6,0.0,5.28
G2F820,2005-01-04,20.2,15.1,82,2.3,1.0,4.24
G2F820,2005-01-05,22.8,14.5,79,1.6,0.0,7.02
G2F820,2005-01-06,23.3,12.7,80,2.1,0.0,10.72
G2F820,2005-01-07,24.5,12.7,78,2.2,0.0,9.45
G2F820,2005-01-08,21.5,15.8,73,3.4,0.0,7.40
G2F820,2005-01-09,20.5,14.3,72,3.0,0.0,4.67
G2F820,2005-01-10,20.3,13.5,76,2.7,0.0,5.52
G2F820,2005-01-11,22.8,13.7,82,2.2,0.0,4.72
G2F820,2005-01-12,21.8,12.0,80,2.8,0.0,10.13
G2F820,2005-01-13,17.0,13.9,91,2.9,10.5,2.44
G2F820,2005-01-14,15.0,11.7,83,5.5,0.0,2.88
G2F820,2005-01-15,15.3,8.2,72,4.5,0.0,8.46
G2F820,2005-01-16,17.5,5.5,71,2.3,0.0,11.03
G2F820,2005-01-17,20.0,4.3,75,1.7,0.0,10.78
G2F820,2005-01-18,21.0,7.9,73,2.1,0.0,8.48
G2F820,2005-01-19,22.8,9.1,79,2.2,0.0,10.39
G2F820,2005-01-20,22.3,11.4,81,2.3,0.0,10.56
G2F820,2005-01-21,23.2,10.5,81,2.0,0.0,10.78
G2F820,2005-01-22,25.0,10.9,84,1.9,0.0,10.70
G2F820,2005-01-23,25.5,13.8,79,1.9,0.0,11.41
G2F820,2005-01-24,26.9,13.1,75,1.8,0.0,10.01
G2F820,2005-01-25,26.9,15.1,72,2.3,0.0,9.29
G2F820,2005-01-26,25.5,16.7,79,2.2,0.0,9.50
G2F820,2005-01-27,23.9,14.7,83,1.7,0.0,5.57
G2F820,2005-01-28,21.4,15.8,83,2.0,0.0,5.02
G2F820,2005-01-29,24.4,14.9,81,2.2,0.0,9.85
G2F820,2005-01-30,22.9,14.1,82,2.8,0.0,7.04
G2F820,2005-01-31,15.8,12.0,79,2.8,0.0,1.50
G2F820,2005-02-01,17.7,11.4,67,2.3,0.0,5.21
G2F820,2005-02-02,15.3,12.2,75,1.7,0.0,2.10
G2F820,2005-02-03,20.1,12.3,78,1.7,0.0,4.80
G2F820,2005-02-04,24.8,13.1,84,1.4,0.0,5.22
G2F820,2005-02-05,25.8,14.6,83,1.8,0.0,7.76
G2F820,2005-02-06,25.8,16.1,81,1.6,0.0,6.49
G2F820,2005-02-07,27.8,16.2,80,2.1,0.0,10.60
G2F820,2005-02-08,26.4,16.5,84,2.1,0.0,9.53
G2F820,2005-02-09,23.5,15.7,87,2.0,0.0,7.83
G2F820,2005-02-10,23.9,14.6,80,3.0,0.0,9.92
G2F820,2005-02-11,22.8,13.1,74,2.6,0.0,11.25
G2F820,2005-02-12,21.8,13.4,79,3.0,0.0,12.19
G2F820,2005-02-13,24.8,11.9,81,2.2,0.0,12.79
G2F820,2005-02-14,25.6,13.5,83,1.8,0.0,10.91
G2F820,2005-02-15,31.3,14.3,76,2.4,0.0,13.26
G2F820,2005-02-16,31.5,19.0,73,2.9,0.0,12.12
G2F820,2005-02-17,28.1,16.4,80,2.9,0.0,11.37
G2F820,2005-02-18,18.6,12.7,94,2.4,65.0,2.02
G2F820,2005-02-19,14.3,9.6,85,4.0,16.5,3.65
G2F820,2005-02-20,9.9,7.2,92,3.0,14.5,0.40
G2F820,2005-02-21,12.0,8.6,95,1.4,4.0,0.84
G2F820,2005-02-22,19.0,11.9,90,1.9,1.0,4.40
G2F820,2005-02-23,26.5,15.0,81,2.0,0.0,8.74
G2F820,2005-02-24,26.0,18.7,77,3.3,0.0,3.59
G2F820,2005-02-25,23.2,16.8,89,2.4,28.0,6.13
G2F820,2005-02-26,18.5,13.6,88,2.8,11.0,3.26
G2F820,2005-02-27,20.6,13.1,88,2.7,6.5,5.50
G2F820,2005-02-28,14.4,12.9,90,3.3,17.5,1.95
G2F820,2005-03-01,16.8,13.2,86,1.8,5.5,2.47
G2F820,2005-03-02,15.6,13.4,95,2.7,35.5,1.00
G2F820,2005-03-03,13.9,11.2,91,3.8,31.0,1.08
G2F820,2005-03-04,15.8,9.6,66,3.2,0.5,4.23
G2F820,2005-03-05,15.0,5.8,69,4.2,1.0,14.17
G2F820,2005-03-06,20.4,3.7,68,2.2,0.0,15.80
G2F820,2005-03-07,21.7,7.2,74,1.9,0.0,14.89
G2F820,2005-03-08,23.1,9.1,69,1.6,0.0,11.95
G2F820,2005-03-09,26.7,15.5,68,2.3,0.0,13.04
G2F820,2005-03-10,26.8,15.8,77,2.4,0.0,7.71
G2F820,2005-03-11,26.0,18.3,80,2.9,1.5,5.05
G2F820,2005-03-12,18.3,8.5,90,3.6,16.0,0.31
G2F820,2005-03-13,11.2,8.6,81,3.9,9.0,3.07
G2F820,2005-03-14,20.8,8.3,78,2.2,0.5,11.21
G2F820,2005-03-15,24.1,13.2,79,1.8,0.0,11.12
G2F820,2005-03-16,28.4,14.7,76,2.0,0.0,13.70
G2F820,2005-03-17,28.4,17.4,77,2.7,0.0,11.54
G2F820,2005-03-18,23.2,14.2,67,3.7,0.0,6.71
G2F820,2005-03-19,23.6,13.7,68,2.1,0.0,13.11
G2F820,2005-03-20,25.5,15.9,74,2.1,0.0,13.94
G2F820,2005-03-21,25.1,15.8,80,1.8,0.0,9.99
G2F820,2005-03-22,30.1,19.3,79,2.4,0.0,7.11
G2F820,2005-03-23,23.0,15.3,77,3.9,11.0,10.54
G2F820,2005-03-24,21.7,15.6,66,2.3,0.0,6.74
G2F820,2005-03-25,23.6,14.4,68,2.1,0.0,13.09
G2F820,2005-03-26,23.3,13.9,79,1.7,0.0,8.77
G2F820,2005-03-27,27.6,16.8,82,2.1,4.5,6.65
G2F820,2005-03-28,29.6,20.7,79,2.7,6.0,8.37
G2F820,2005-03-29,27.1,16.3,85,3.0,17.0,5.96
G2F820,2005-03-30,21.7,15.4,89,2.4,37.5,5.38
G2F820,2005-03-31,22.5,15.5,91,2.5,22.0,5.62
G2F820,2005-04-01,23.5,18.0,90,2.1,0.0,5.30
G2F820,2005-04-02,24.9,16.6,87,3.1,5.0,8.97
G2F820,2005-04-03,27.8,16.2,72,2.3,0.0,11.25
G2F820,2005-04-04,26.6,13.6,71,2.6,0.0,16.30
G2F820,2005-04-05,26.1,15.2,73,1.9,0.0,12.44
G2F820,2005-04-06,28.1,16.3,69,1.9,0.0,11.99
G2F820,2005-04-07,30.0,20.3,75,2.3,0.0,14.25
G2F820,2005-04-08,30.0,20.6,79,2.4,0.0,15.93
G2F820,2005-04-09,31.7,22.8,75,3.1,0.0,13.02
G2F820,2005-04-10,32.5,22.5,75,2.9,0.0,14.16
G2F820,2005-04-11,29.6,20.4,80,1.8,0.0,10.23
G2F820,2005-04-12,25.2,19.1,86,2.2,7.5,3.92
G2F820,2005-04-13,20.2,16.1,86,2.7,3.5,3.38
G2F820,2005-04-14,23.3,17.5,87,1.3,0.0,3.96
G2F820,2005-04-15,27.6,18.5,79,2.0,0.0,11.30
G2F820,2005-04-16,29.2,20.4,74,1.9,0.0,12.51
G2F820,2005-04-17,26.4,21.7,80,1.8,0.0,5.75
G2F820,2005-04-18,29.2,20.3,80,2.2,0.0,16.11
G2F820,2005-04-19,30.7,21.0,80,2.0,0.0,13.95
G2F820,2005-04-20,29.4,21.3,75,2.3,0.0,10.94
G2F820,2005-04-21,30.4,21.8,78,1.9,0.0,10.75
G2F820,2005-04-22,31.3,21.0,77,2.1,0.0,14.12
G2F820,2005-04-23,30.9,22.1,78,2.3,0.0,11.66
G2F820,2005-04-24,31.3,22.1,81,2.0,0.0,11.12
G2F820,2005-04-25,30.9,22.2,79,2.2,0.0,13.89
G2F820,2005-04-26,25.1,21.0,90,2.6,45.5,4.04
G2F820,2005-04-27,27.8,21.1,83,2.3,0.0,7.73
G2F820,2005-04-28,27.7,22.0,87,2.4,10.0,5.18
G2F820,2005-04-29,30.4,21.8,80,3.1,0.0,11.47
G2F820,2005-04-30,31.5,22.8,74,3.6,0.0,16.61
G2F820,2005-05-01,32.5,22.2,70,3.6,0.0,18.39
G2F820,2005-05-02,31.2,23.5,78,3.2,0.0,12.13
G2F820,2005-05-03,32.0,24.3,79,2.1,0.0,14.07
G2F820,2005-05-04,31.1,22.8,81,2.6,0.0,11.75
G2F820,2005-05-05,33.1,24.5,71,4.2,0.0,15.45
G2F820,2005-05-06,26.8,21.7,79,3.1,25.5,3.05
G2F820,2005-05-07,28.9,20.7,85,1.6,0.0,9.21
G2F820,2005-05-08,28.8,22.8,85,2.9,5.5,5.11
G2F820,2005-05-09,30.8,22.0,80,3.2,11.5,7.20
G2F820,2005-05-10,26.3,22.0,92,2.4,58.5,4.54
G2F820,2005-05-11,29.6,21.4,84,2.0,0.0,12.59
G2F820,2005-05-12,28.6,23.3,91,2.6,181.5,4.97
G2F820,2005-05-13,28.3,22.7,92,3.6,173.0,4.96
G2F820,2005-05-14,28.6,23.8,87,2.5,6.0,3.99
G2F820,2005-05-15,28.6,23.3,89,2.5,53.5,4.01
G2F820,2005-05-16,33.0,23.0,81,2.0,0.5,18.81
G2F820,2005-05-17,32.8,23.7,78,2.9,0.0,18.55
G2F820,2005-05-18,32.0,25.0,81,2.9,0.0,14.00
G2F820,2005-05-19,31.7,24.4,81,2.1,0.0,15.89
G2F820,2005-05-20,32.3,23.7,80,2.1,0.0,17.11
G2F820,2005-05-21,32.3,23.6,82,2.1,0.0,17.87
G2F820,2005-05-22,32.7,24.0,77,2.7,0.0,18.74
G2F820,2005-05-23,32.7,24.6,76,2.5,0.0,17.96
G2F820,2005-05-24,30.4,23.9,89,2.1,22.0,8.27
G2F820,2005-05-25,31.3,23.8,83,2.7,0.0,15.85
G2F820,2005-05-26,30.9,23.9,81,1.9,0.0,11.91
G2F820,2005-05-27,31.9,24.6,81,2.5,0.0,14.18
G2F820,2005-05-28,31.9,23.5,80,2.7,0.0,15.31
G2F820,2005-05-29,31.8,24.0,78,2.5,0.0,13.81
G2F820,2005-05-30,32.8,23.3,78,2.0,0.0,16.94
