測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2004-01-01,23.7,11.6,76,2.0,0.0,6.54
G2F820,2004-01-02,27.8,12.4,73,2.4,0.0,10.40
G2F820,2004-01-03,26.8,11.2,76,1.8,0.0,8.20
G2F820,2004-01-04,27.4,14.4,75,2.0,0.0,8.45
G2F820,2004-01-05,28.3,12.3,76,2.1,0.0,11.13
G2F820,2004-01-06,27.4,13.6,81,2.4,0.0,10.46
G2F820,2004-01-07,29.0,12.4,77,2.4,0.0,9.62
G2F820,2004-01-08,27.8,12.1,74,2.2,0.0,10.92
G2F820,2004-01-09,29.9,13.5,73,1.9,0.0,9.55
G2F820,2004-01-10,27.9,12.9,76,1.8,0.0,9.63
G2F820,2004-01-11,28.8,16.2,74,2.7,0.0,9.48
G2F820,2004-01-12,21.1,15.2,71,3.3,0.0,3.96
G2F820,2004-01-13,23.0,12.4,61,3.2,0.0,7.54
G2F820,2004-01-14,26.9,12.3,67,2.0,0.0,8.95
G2F820,2004-01-15,28.2,10.3,78,2.2,0.0,10.05
G2F820,2004-01-16,26.7,12.6,80,2.3,3.0,5.30
G2F820,2004-01-17,27.5,13.1,67,2.7,0.0,10.81
G2F820,2004-01-18,27.9,13.4,72,2.6,0.0,9.96
G2F820,2004-01-19,19.8,12.6,80,3.2,2.0,3.42
G2F820,2004-01-20,20.7,11.4,79,3.1,6.0,4.43
G2F820,2004-01-21,17.9,9.1,65,4.6,1.0,7.74
G2F820,2004-01-22,17.8,10.0,64,1.8,0.5,2.80
G2F820,2004-01-23,18.5,10.5,75,3.1,0.5,2.95
G2F820,2004-01-24,17.1,6.7,57,4.9,0.0,9.94
G2F820,2004-01-25,24.8,5.0,57,1.9,0.0,9.76
G2F820,2004-01-26,27.7,7.1,65,2.1,0.0,10.05
G2F820,2004-01-27,19.5,11.5,73,3.5,0.0,6.22
G2F820,2004-01-28,15.1,10.5,77,1.7,0.0,2.83
G2F820,2004-01-29,18.6,12.7,88,1.2,0.0,1.03
G2F820,2004-01-30,26.0,13.2,75,3.5,0.5,10.96
G2F820,2004-01-31,28.2,11.3,72,2.0,0.0,11.10
G2F820,2004-02-01,29.6,13.3,71,2.3,0.0,11.85
G2F820,2004-02-02,28.4,14.5,76,2.9,0.5,9.21
G2F820,2004-02-03,17.9,11.2,81,3.8,3.0,2.86
G2F820,2004-02-04,14.7,11.1,89,2.5,10.5,1.64
G2F820,2004-02-05,13.3,10.5,91,2.6,24.5,2.07
G2F820,2004-02-06,14.0,12.2,92,1.7,3.0,1.07
G2F820,2004-02-07,12.9,11.2,90,2.2,4.0,1.47
G2F820,2004-02-08,13.9,11.3,95,1.7,27.0,1.39
G2F820,2004-02-09,18.0,10.8,85,3.6,13.5,7.36
G2F820,2004-02-10,23.3,9.9,76,2.1,0.0,13.48
G2F820,2004-02-11,24.3,11.0,81,2.0,0.0,12.21
G2F820,2004-02-12,25.4,11.1,83,1.8,0.0,12.15
G2F820,2004-02-13,24.9,12.9,81,2.0,0.0,12.47
G2F820,2004-02-14,25.7,12.6,81,2.3,0.0,12.94
G2F820,2004-02-15,27.0,13.2,76,2.0,0.0,12.54
G2F820,2004-02-16,27.0,15.4,75,1.9,0.0,11.90
G2F820,2004-02-17,24.8,14.9,82,2.0,0.0,10.41
G2F820,2004-02-18,25.9,15.0,79,2.0,0.0,11.00
G2F820,2004-02-19,26.9,13.9,72,1.9,0.0,11.53
G2F820,2004-02-20,27.5,13.7,78,1.8,0.0,11.98
G2F820,2004-02-21,28.6,15.2,75,2.2,0.0,11.33
G2F820,2004-02-22,29.1,16.7,69,3.0,0.0,11.83
G2F820,2004-02-23,26.1,15.0,70,1.5,0.0,8.59
G2F820,2004-02-24,26.9,16.7,74,3.0,0.0,8.92
G2F820,2004-02-25,27.3,16.0,71,2.9,0.0,12.60
G2F820,2004-02-26,27.0,15.8,69,2.8,0.0,12.05
G2F820,2004-02-27,27.3,15.5,72,2.3,0.0,10.75
G2F820,2004-02-28,30.3,15.2,71,1.6,0.0,12.67
G2F820,2004-02-29,31.4,17.7,69,3.4,0.0,12.13
G2F820,2004-03-01,30.6,18.5,74,2.9,0.0,9.37
G2F820,2004-03-02,23.7,16.6,77,3.1,3.5,7.49
G2F820,2004-03-03,17.3,13.6,83,4.8,11.5,3.89
G2F820,2004-03-04,20.5,12.0,67,2.6,0.0,8.79
G2F820,2004-03-05,25.0,10.8,74,2.5,0.0,12.71
G2F820,2004-03-06,19.8,12.9,82,2.6,2.5,2.72
G2F820,2004-03-07,20.4,12.4,69,3.1,0.0,6.74
G2F820,2004-03-08,26.2,11.0,70,2.2,0.0,12.66
G2F820,2004-03-09,28.8,12.6,77,1.7,0.0,9.45
G2F820,2004-03-10,28.3,13.3,73,1.8,0.0,14.50
G2F820,2004-03-11,29.8,16.6,76,2.2,0.0,14.65
G2F820,2004-03-12,29.3,18.7,76,3.0,0.0,12.96
G2F820,2004-03-13,25.3,16.3,77,2.6,0.0,11.11
G2F820,2004-03-14,27.0,17.3,77,2.9,0.0,12.99
G2F820,2004-03-15,26.8,15.1,77,1.8,0.0,13.79
G2F820,2004-03-16,27.0,19.3,77,2.6,0.0,11.82
G2F820,2004-03-17,29.7,19.2,73,2.3,0.0,12.28
G2F820,2004-03-18,24.8,17.4,73,3.5,0.0,9.83
G2F820,2004-03-19,26.2,15.7,78,2.4,0.0,9.70
G2F820,2004-03-20,25.7,17.4,80,2.8,0.0,13.63
G2F820,2004-03-21,25.6,17.3,83,2.6,0.0,13.55
G2F820,2004-03-22,25.0,17.1,73,3.5,0.0,12.89
G2F820,2004-03-23,23.4,15.7,74,2.6,0.0,9.58
G2F820,2004-03-24,25.1,16.9,81,2.8,1.0,9.14
G2F820,2004-03-25,22.7,17.3,85,2.6,0.0,4.83
G2F820,2004-03-26,17.4,15.2,90,2.0,8.0,1.04
G2F820,2004-03-27,18.5,15.8,95,1.6,18.5,0.85
G2F820,2004-03-28,24.5,18.8,84,2.3,0.5,7.49
G2F820,2004-03-29,26.6,17.2,83,2.1,0.0,8.58
G2F820,2004-03-30,24.3,19.1,92,2.2,20.5,5.27
G2F820,2004-03-31,22.8,18.6,93,1.6,0.5,2.40
G2F820,2004-04-01,26.7,17.5,90,2.3,4.0,4.94
G2F820,2004-04-02,25.8,18.7,81,1.6,0.0,9.22
G2F820,2004-04-03,19.9,16.5,96,1.9,32.5,1.77
G2F820,2004-04-04,25.4,13.9,83,2.4,0.0,16.75
G2F820,2004-04-05,26.4,12.0,79,1.8,0.0,16.99
G2F820,2004-04-06,27.2,14.9,75,1.7,0.0,15.18
G2F820,2004-04-07,28.9,16.5,76,1.9,0.0,10.59
G2F820,2004-04-08,21.5,15.2,84,3.5,4.5,6.50
G2F820,2004-04-09,23.8,14.9,81,1.4,0.0,6.64
G2F820,2004-04-10,26.0,17.2,85,1.7,0.0,9.88
G2F820,2004-04-11,29.9,17.7,81,2.0,0.0,16.24
G2F820,2004-04-12,30.4,20.9,81,2.2,0.0,15.19
G2F820,2004-04-13,30.1,22.0,85,2.6,0.0,14.91
G2F820,2004-04-14,29.3,21.6,80,2.4,0.0,14.59
G2F820,2004-04-15,24.6,19.6,93,1.3,26.0,4.41
G2F820,2004-04-16,28.3,19.4,78,2.3,0.0,16.02
G2F820,2004-04-17,26.3,19.9,86,1.3,0.0,4.53
G2F820,2004-04-18,29.7,21.8,82,3.3,11.0,7.72
G2F820,2004-04-19,30.1,21.2,84,2.2,0.0,16.47
G2F820,2004-04-20,30.4,19.9,82,2.1,0.0,15.86
G2F820,2004-04-21,30.5,19.1,78,2.0,0.0,16.96
G2F820,2004-04-22,31.6,22.4,82,3.3,0.0,14.59
G2F820,2004-04-23,31.0,21.7,85,3.1,0.0,12.12
G2F820,2004-04-24,26.4,18.8,85,2.2,0.0,6.19
G2F820,2004-04-25,28.7,18.5,85,2.0,0.0,12.24
G2F820,2004-04-26,29.8,22.1,86,2.5,0.0,12.61
G2F820,2004-04-27,25.1,19.3,93,2.3,22.5,2.91
G2F820,2004-04-28,29.8,19.2,82,1.7,0.0,14.66
G2F820,2004-04-29,28.7,21.6,85,1.8,0.0,11.96
G2F820,2004-04-30,28.6,20.3,82,1.8,0.0,11.49
G2F820,2004-05-01,31.4,21.1,83,2.1,0.0,14.68
