測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2016-01-01,25.6,12.6,82,1.4,0.0,14.13
G2F820,2016-01-02,23.8,17.3,86,0.9,0.0,7.05
G2F820,2016-01-03,20.8,18.3,98,0.9,0.0,2.47
G2F820,2016-01-04,26.8,19.5,94,1.0,0.0,6.80
G2F820,2016-01-05,27.8,19.1,90,1.1,0.0,10.41
G2F820,2016-01-06,24.1,18.0,91,2.7,18.0,7.23
G2F820,2016-01-07,25.1,17.1,77,2.4,0.0,12.80
G2F820,2016-01-08,22.2,14.4,85,3.0,1.5,9.65
G2F820,2016-01-09,24.6,14.2,79,2.0,0.0,14.86
G2F820,2016-01-10,25.0,13.4,87,1.3,0.0,10.37
G2F820,2016-01-11,19.1,15.4,96,2.1,6.0,1.36
G2F820,2016-01-12,23.1,15.4,83,2.2,0.0,12.02
G2F820,2016-01-13,17.1,13.7,85,2.5,0.0,2.66
G2F820,2016-01-14,20.7,13.5,81,1.9,0.0,9.60
G2F820,2016-01-15,17.9,13.9,92,1.1,3.0,2.73
G2F820,2016-01-16,25.0,13.6,86,1.2,0.5,13.30
G2F820,2016-01-17,19.3,16.0,96,2.3,33.0,1.95
G2F820,2016-01-18,21.1,13.3,77,2.2,0.0,14.17
G2F820,2016-01-19,21.5,13.7,81,1.6,0.0,12.59
G2F820,2016-01-20,21.2,12.6,82,1.1,0.0,10.11
G2F820,2016-01-21,22.5,16.0,90,1.8,2.0,7.66
G2F820,2016-01-22,21.2,15.4,87,1.9,4.0,5.89
G2F820,2016-01-23,15.9,8.4,87,5.0,13.5,1.89
G2F820,2016-01-24,8.8,5.0,72,5.1,3.5,1.82
G2F820,2016-01-25,15.5,3.9,64,2.0,0.0,17.12
G2F820,2016-01-26,21.6,5.3,76,1.2,0.0,16.86
G2F820,2016-01-27,21.6,12.9,84,1.0,0.0,6.78
G2F820,2016-01-28,18.9,15.4,97,1.0,8.0,2.59
G2F820,2016-01-29,18.8,15.8,97,1.6,29.0,1.70
G2F820,2016-01-30,19.9,15.8,92,1.9,33.0,5.78
G2F820,2016-01-31,24.0,14.5,82,1.4,0.0,13.78
G2F820,2016-02-01,20.5,12.3,85,4.0,5.0,10.26
G2F820,2016-02-02,16.4,12.2,85,2.2,1.5,5.24
G2F820,2016-02-03,17.6,13.0,85,1.6,0.0,6.26
G2F820,2016-02-04,19.0,13.0,90,1.8,0.5,6.88
G2F820,2016-02-05,21.0,13.1,82,4.7,0.0,17.50
G2F820,2016-02-06,14.7,8.6,66,5.5,0.0,7.49
G2F820,2016-02-07,19.5,6.0,66,2.3,0.0,18.47
G2F820,2016-02-08,21.3,4.4,63,1.4,0.0,19.58
G2F820,2016-02-09,22.2,6.2,71,1.2,0.0,19.20
G2F820,2016-02-10,24.1,8.8,75,0.9,0.0,9.63
G2F820,2016-02-11,26.1,15.1,80,2.0,0.0,12.78
G2F820,2016-02-12,30.2,17.2,79,2.1,0.0,16.19
G2F820,2016-02-13,31.9,18.1,65,3.3,0.0,19.48
G2F820,2016-02-14,29.3,12.3,78,3.5,0.0,10.47
G2F820,2016-02-15,17.2,10.6,76,3.5,0.0,9.56
G2F820,2016-02-16,14.9,12.2,74,1.0,0.0,2.33
G2F820,2016-02-17,20.2,12.9,80,0.3,0.0,7.56
G2F820,2016-02-18,22.8,14.5,89,0.9,0.0,9.96
G2F820,2016-02-19,23.4,15.3,86,1.6,0.0,12.04
G2F820,2016-02-20,19.8,14.0,76,2.5,0.0,7.39
G2F820,2016-02-21,21.0,11.9,78,0.7,0.0,6.91
G2F820,2016-02-22,23.8,15.5,85,1.6,0.0,14.70
G2F820,2016-02-23,23.2,15.1,81,3.0,0.0,15.50
G2F820,2016-02-24,17.1,14.3,78,3.0,0.0,3.00
G2F820,2016-02-25,20.0,14.0,81,1.1,0.0,5.40
G2F820,2016-02-26,18.2,15.0,83,1.8,0.0,5.71
G2F820,2016-02-27,19.5,13.3,87,1.5,0.0,8.94
G2F820,2016-02-28,26.4,12.8,80,1.3,0.0,18.89
G2F820,2016-02-29,25.5,11.8,67,3.4,0.0,21.30
G2F820,2016-03-01,23.9,10.3,72,1.6,0.0,19.97
G2F820,2016-03-02,23.7,11.7,77,1.4,0.0,18.21
G2F820,2016-03-03,25.0,11.8,73,1.3,0.0,19.47
G2F820,2016-03-04,26.3,14.7,73,1.5,0.0,12.27
