測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2009-01-01,18.1,9.0,69,3.2,0.0,11.00
G2F820,2009-01-02,19.3,8.0,77,2.2,0.0,8.79
G2F820,2009-01-03,23.1,7.7,79,1.7,0.0,11.14
G2F820,2009-01-04,19.7,13.2,89,2.3,0.0,2.99
G2F820,2009-01-05,25.9,10.5,85,1.7,0.0,11.45
G2F820,2009-01-06,24.9,12.8,85,1.9,0.0,11.12
G2F820,2009-01-07,23.3,11.3,86,2.9,0.0,11.45
G2F820,2009-01-08,21.2,11.3,85,3.8,0.0,10.85
G2F820,2009-01-09,16.5,7.7,75,4.9,0.0,6.38
G2F820,2009-01-10,16.2,5.5,64,3.8,0.0,10.18
G2F820,2009-01-11,20.4,4.4,73,1.5,0.0,10.70
G2F820,2009-01-12,20.9,5.7,72,2.4,0.0,11.58
G2F820,2009-01-13,17.9,5.3,66,3.2,0.0,11.06
G2F820,2009-01-14,19.1,3.7,69,2.3,0.0,11.40
G2F820,2009-01-15,21.1,4.8,75,1.8,0.0,10.77
G2F820,2009-01-16,23.3,5.9,76,1.9,0.0,11.58
G2F820,2009-01-17,24.5,7.6,77,1.9,0.0,11.61
G2F820,2009-01-18,25.3,8.6,69,2.2,0.0,11.41
G2F820,2009-01-19,25.0,10.4,77,2.1,0.0,10.21
G2F820,2009-01-20,26.5,12.7,83,2.0,0.0,11.63
G2F820,2009-01-21,26.7,14.3,85,1.9,0.0,10.71
G2F820,2009-01-22,23.9,14.7,87,2.1,0.0,9.99
G2F820,2009-01-23,19.7,12.2,81,4.8,0.0,9.24
G2F820,2009-01-24,13.5,9.8,73,3.1,0.0,2.01
G2F820,2009-01-25,20.9,10.2,70,1.7,0.0,10.35
G2F820,2009-01-26,21.8,13.1,79,3.1,0.0,10.37
G2F820,2009-01-27,21.4,12.9,81,2.7,0.0,9.58
G2F820,2009-01-28,25.0,12.0,87,2.3,0.0,11.91
G2F820,2009-01-29,25.3,15.7,87,2.5,0.0,10.96
G2F820,2009-01-30,22.1,12.8,89,2.8,0.0,6.63
G2F820,2009-01-31,25.9,10.8,78,1.9,0.0,12.47
G2F820,2009-02-01,26.3,14.3,82,2.0,0.0,11.16
G2F820,2009-02-02,24.9,15.3,82,2.4,0.0,12.17
G2F820,2009-02-03,25.8,12.8,85,2.1,0.0,12.29
G2F820,2009-02-04,24.9,15.1,85,2.2,0.0,11.05
G2F820,2009-02-05,25.2,14.1,86,2.3,0.0,11.50
G2F820,2009-02-06,23.2,15.0,86,2.4,0.0,11.06
G2F820,2009-02-07,25.9,13.9,85,1.7,0.0,12.12
G2F820,2009-02-08,27.2,17.3,80,1.9,0.0,11.75
G2F820,2009-02-09,28.4,15.0,73,2.2,0.0,13.05
G2F820,2009-02-10,27.4,13.8,76,2.2,0.0,12.17
G2F820,2009-02-11,27.3,13.3,76,1.7,0.0,12.05
G2F820,2009-02-12,29.7,14.8,79,2.2,0.0,12.44
G2F820,2009-02-13,32.4,18.7,63,4.1,0.5,10.53
G2F820,2009-02-14,28.4,20.9,73,2.4,0.0,6.37
G2F820,2009-02-15,29.5,20.9,80,2.0,0.0,9.51
G2F820,2009-02-16,23.1,17.9,79,3.6,0.0,6.58
G2F820,2009-02-17,25.8,17.4,73,2.9,0.0,12.94
G2F820,2009-02-18,25.9,16.9,78,2.6,0.0,12.74
G2F820,2009-02-19,29.0,17.9,79,1.9,0.0,13.01
G2F820,2009-02-20,25.8,15.3,79,3.2,3.0,8.97
G2F820,2009-02-21,25.3,15.3,73,2.3,0.0,11.59
G2F820,2009-02-22,31.9,18.7,71,2.5,0.0,12.47
G2F820,2009-02-23,32.0,20.6,79,2.3,0.0,13.43
G2F820,2009-02-24,29.0,20.7,79,2.3,0.0,11.08
G2F820,2009-02-25,30.0,19.3,78,2.5,0.0,13.49
G2F820,2009-02-26,29.8,19.4,80,2.6,0.0,15.15
G2F820,2009-02-27,28.9,18.1,81,3.1,0.0,14.18
G2F820,2009-02-28,26.7,17.5,75,3.0,0.0,13.36
G2F820,2009-03-01,25.7,16.5,73,3.7,0.0,15.06
G2F820,2009-03-02,23.5,15.0,77,2.8,0.0,6.36
G2F820,2009-03-03,24.6,16.2,76,3.1,0.0,10.87
G2F820,2009-03-04,28.3,16.6,75,3.1,0.0,14.25
G2F820,2009-03-05,29.2,16.8,79,2.8,10.0,13.15
G2F820,2009-03-06,20.4,14.0,94,2.9,42.0,1.80
G2F820,2009-03-07,19.0,12.8,92,2.7,37.0,3.57
G2F820,2009-03-08,25.6,14.7,87,2.0,8.0,11.28
G2F820,2009-03-09,18.8,13.9,90,2.8,2.5,1.88
G2F820,2009-03-10,24.1,14.2,84,1.5,0.0,7.08
G2F820,2009-03-11,25.2,18.0,86,2.6,0.0,9.25
G2F820,2009-03-12,27.0,17.4,86,2.1,0.0,13.29
G2F820,2009-03-13,28.8,14.1,82,3.5,0.5,12.45
G2F820,2009-03-14,16.5,12.3,69,4.4,0.0,4.22
G2F820,2009-03-15,23.4,11.5,76,1.8,0.0,11.37
G2F820,2009-03-16,24.8,13.5,78,1.8,0.0,15.19
G2F820,2009-03-17,27.1,14.4,72,1.8,0.0,16.02
G2F820,2009-03-18,28.5,15.4,71,1.6,0.0,13.27
G2F820,2009-03-19,28.9,19.3,80,2.6,0.0,12.39
G2F820,2009-03-20,26.9,20.4,84,1.9,0.0,9.06
G2F820,2009-03-21,27.9,20.7,84,1.9,0.0,10.57
G2F820,2009-03-22,28.7,22.5,80,2.2,0.5,5.81
G2F820,2009-03-23,29.0,19.1,81,2.5,1.5,11.42
G2F820,2009-03-24,19.3,15.9,91,2.3,14.5,2.65
G2F820,2009-03-25,24.7,16.1,72,2.5,0.0,12.85
G2F820,2009-03-26,26.2,18.2,76,1.9,0.0,10.05
G2F820,2009-03-27,27.7,20.0,80,1.9,0.0,11.86
G2F820,2009-03-28,27.2,18.2,80,2.9,0.0,13.02
G2F820,2009-03-29,22.6,16.4,84,4.0,17.0,7.72
G2F820,2009-03-30,23.6,16.4,75,2.6,0.0,11.36
G2F820,2009-03-31,24.5,16.1,72,3.5,0.0,15.26
G2F820,2009-04-01,24.3,15.4,70,2.6,0.0,12.50
G2F820,2009-04-02,24.8,14.5,69,1.9,0.0,11.74
G2F820,2009-04-03,25.8,16.8,76,2.1,0.0,11.62
G2F820,2009-04-04,27.3,18.2,81,1.7,0.0,10.77
G2F820,2009-04-05,28.3,17.7,79,3.0,0.0,10.86
G2F820,2009-04-06,22.4,16.1,77,2.9,0.0,7.14
G2F820,2009-04-07,23.7,15.9,85,1.9,7.0,5.52
G2F820,2009-04-08,25.2,16.2,78,3.5,0.0,15.00
G2F820,2009-04-09,26.7,15.0,71,2.5,0.0,14.43
G2F820,2009-04-10,27.9,16.1,78,2.3,0.0,15.53
G2F820,2009-04-11,28.7,17.7,79,2.1,0.0,16.06
G2F820,2009-04-12,28.7,19.3,77,2.1,0.0,14.31
G2F820,2009-04-13,29.0,20.6,86,2.6,23.0,8.32
G2F820,2009-04-14,27.5,20.7,84,2.3,13.0,11.76
G2F820,2009-04-15,29.1,20.7,82,2.0,0.5,14.26
G2F820,2009-04-16,24.6,21.4,91,1.5,0.0,3.11
G2F820,2009-04-17,28.3,20.7,85,2.3,0.0,14.91
G2F820,2009-04-18,29.8,21.5,77,2.5,0.0,15.68
G2F820,2009-04-19,28.9,21.1,79,2.0,0.0,5.65
G2F820,2009-04-20,28.0,22.1,85,3.2,41.0,2.15
G2F820,2009-04-21,30.2,21.5,84,2.4,3.5,12.48
G2F820,2009-04-22,24.7,22.2,95,1.9,13.0,3.78
G2F820,2009-04-23,29.4,21.5,85,2.1,0.0,17.47
G2F820,2009-04-24,29.6,21.9,84,2.0,0.0,16.39
G2F820,2009-04-25,29.5,18.9,76,3.0,0.0,13.13
G2F820,2009-04-26,19.2,15.2,94,2.0,0.5,2.62
G2F820,2009-04-27,24.9,16.8,84,1.4,0.0,7.92
G2F820,2009-04-28,26.6,15.8,77,2.3,0.0,15.21
G2F820,2009-04-29,27.5,19.2,73,2.0,0.0,14.60
G2F820,2009-04-30,28.4,19.5,69,1.9,0.0,13.13
G2F820,2009-05-01,28.8,19.1,72,2.1,0.0,14.43
G2F820,2009-05-02,30.0,19.5,73,2.2,0.0,17.27
G2F820,2009-05-03,30.0,20.1,73,2.4,0.0,15.89
G2F820,2009-05-04,28.9,20.5,76,3.0,0.0,16.75
G2F820,2009-05-05,30.1,19.8,72,2.8,0.0,18.26
G2F820,2009-05-06,29.7,18.4,72,2.1,0.0,16.84
G2F820,2009-05-07,29.7,19.4,66,2.2,0.0,18.14
G2F820,2009-05-08,29.6,18.7,67,2.7,0.0,17.01
G2F820,2009-05-09,30.1,19.2,71,2.3,0.0,18.12
G2F820,2009-05-10,29.0,20.5,77,2.0,0.0,16.31
G2F820,2009-05-11,30.1,20.1,70,2.2,0.0,17.43
G2F820,2009-05-12,31.9,19.3,74,1.8,0.0,17.16
G2F820,2009-05-13,30.7,21.7,78,2.7,0.0,15.16
G2F820,2009-05-14,30.9,22.0,79,1.8,0.0,13.02
G2F820,2009-05-15,31.0,22.2,77,1.7,0.0,13.40
G2F820,2009-05-16,31.3,22.3,77,2.1,0.0,16.83
G2F820,2009-05-17,30.9,24.3,81,1.7,0.0,7.44
G2F820,2009-05-18,29.6,23.8,82,1.7,0.0,7.34
G2F820,2009-05-19,31.2,24.2,82,1.9,0.0,11.75
G2F820,2009-05-20,30.4,23.1,85,1.8,0.0,10.75
G2F820,2009-05-21,33.5,23.6,78,2.6,0.0,16.30
G2F820,2009-05-22,33.8,23.2,77,2.7,0.0,16.04
G2F820,2009-05-23,32.2,24.4,81,2.2,0.0,12.98
G2F820,2009-05-24,31.4,24.5,82,2.2,0.0,10.75
G2F820,2009-05-25,32.7,23.2,76,1.9,0.0,16.70
G2F820,2009-05-26,31.7,24.4,79,2.3,0.0,11.09
G2F820,2009-05-27,24.9,21.7,92,1.8,19.0,3.73
G2F820,2009-05-28,29.1,21.4,84,1.7,0.0,7.73
G2F820,2009-05-29,29.8,21.0,76,2.1,0.0,16.74
G2F820,2009-05-30,30.2,20.7,72,1.9,0.0,16.53
