測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2015-01-01,21.5,8.8,74,1.9,0.0,13.79
G2F820,2015-01-02,20.6,8.1,73,1.2,0.0,12.13
G2F820,2015-01-03,22.6,10.4,76,1.1,0.0,10.87
G2F820,2015-01-04,24.4,9.6,77,1.0,0.0,14.33
G2F820,2015-01-05,28.2,10.7,72,1.0,0.0,15.12
G2F820,2015-01-06,29.4,13.9,75,1.9,0.0,13.73
G2F820,2015-01-07,22.8,14.2,78,2.9,0.0,8.94
G2F820,2015-01-08,19.8,13.1,63,3.0,0.0,6.13
G2F820,2015-01-09,22.9,11.9,65,1.7,0.0,13.89
G2F820,2015-01-10,23.2,10.9,73,1.3,0.0,12.15
G2F820,2015-01-11,25.0,10.6,72,1.3,0.0,13.94
G2F820,2015-01-12,25.4,14.7,68,1.7,0.0,11.64
G2F820,2015-01-13,24.1,14.9,79,2.2,2.0,8.75
G2F820,2015-01-14,21.3,11.8,85,3.4,5.0,12.77
G2F820,2015-01-15,23.7,10.2,77,1.5,0.0,16.24
G2F820,2015-01-16,23.4,12.0,79,1.9,0.0,15.35
G2F820,2015-01-17,21.9,10.5,74,2.1,0.0,15.38
G2F820,2015-01-18,21.9,10.4,78,1.8,0.0,12.09
G2F820,2015-01-19,22.9,10.3,76,1.6,0.0,13.95
G2F820,2015-01-20,24.4,11.4,77,1.6,0.0,11.68
G2F820,2015-01-21,23.8,13.7,82,2.5,0.5,11.96
G2F820,2015-01-22,21.8,9.3,72,2.4,0.0,16.47
G2F820,2015-01-23,22.9,5.5,67,1.5,0.0,15.92
G2F820,2015-01-24,23.5,7.8,72,1.7,0.0,16.20
G2F820,2015-01-25,24.0,13.8,70,1.6,0.0,8.79
G2F820,2015-01-26,22.4,15.8,88,1.7,0.5,5.43
G2F820,2015-01-27,21.4,16.5,88,1.5,2.0,4.56
G2F820,2015-01-28,23.1,15.1,74,1.9,0.0,11.36
G2F820,2015-01-29,24.8,14.8,79,1.9,0.0,14.77
G2F820,2015-01-30,22.9,13.0,82,2.4,0.0,13.34
G2F820,2015-01-31,22.2,12.0,78,2.2,0.0,15.48
G2F820,2015-02-01,22.9,12.6,76,1.9,0.0,15.14
G2F820,2015-02-02,23.2,13.4,81,1.7,0.0,13.39
G2F820,2015-02-03,22.0,14.7,83,2.4,0.0,14.18
G2F820,2015-02-04,21.6,13.6,80,3.1,0.0,12.19
G2F820,2015-02-05,18.4,12.2,71,4.0,0.0,8.24
G2F820,2015-02-06,18.6,10.7,71,1.1,0.0,5.47
G2F820,2015-02-07,24.4,9.6,82,1.9,0.0,11.65
G2F820,2015-02-08,19.4,12.6,70,4.2,0.0,10.48
G2F820,2015-02-09,17.3,11.3,62,3.5,0.0,10.27
G2F820,2015-02-10,19.1,9.1,71,1.5,0.0,11.38
G2F820,2015-02-11,23.1,9.7,75,1.7,0.0,14.05
G2F820,2015-02-12,23.6,9.9,60,2.5,0.0,16.57
G2F820,2015-02-13,24.6,8.0,66,1.4,0.0,16.79
G2F820,2015-02-14,26.2,11.5,57,1.7,0.0,16.96
G2F820,2015-02-15,28.6,15.3,58,1.9,0.0,12.11
G2F820,2015-02-16,26.8,16.6,85,2.4,8.0,15.98
G2F820,2015-02-17,26.7,15.1,84,1.6,0.0,13.37
G2F820,2015-02-18,26.3,13.5,79,1.7,0.0,17.22
G2F820,2015-02-19,25.7,13.9,77,1.4,0.0,15.51
