測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2013-01-01,18.4,10.3,84,0.9,0.0,2.98
G2F820,2013-01-02,22.6,14.0,87,1.6,0.0,7.10
G2F820,2013-01-03,19.6,14.5,88,2.7,4.5,5.73
G2F820,2013-01-04,21.4,13.3,85,1.9,0.0,9.25
G2F820,2013-01-05,23.4,14.0,85,2.5,0.0,14.97
G2F820,2013-01-06,24.2,14.2,87,2.1,0.0,14.83
G2F820,2013-01-07,25.2,16.1,86,1.7,0.0,13.88
G2F820,2013-01-08,20.2,16.4,87,2.1,0.0,3.94
G2F820,2013-01-09,19.1,14.4,85,3.7,1.0,6.05
G2F820,2013-01-10,21.0,12.1,79,2.3,0.0,9.05
G2F820,2013-01-11,,,,,,
G2F820,2013-01-12,23.6,16.5,89,2.3,1.0,11.49
G2F820,2013-01-13,20.4,11.5,91,3.2,9.5,5.22
G2F820,2013-01-14,,,,,,
G2F820,2013-01-15,23.2,8.7,79,1.5,0.0,15.44
G2F820,2013-01-16,,,,,,
G2F820,2013-01-17,19.8,10.1,72,4.9,0.0,13.74
G2F820,2013-01-18,20.5,8.4,75,1.6,0.0,14.63
G2F820,2013-01-19,23.2,8.9,81,1.3,0.0,14.77
G2F820,2013-01-20,23.8,11.6,84,1.5,0.0,14.14
G2F820,2013-01-21,27.2,11.9,77,1.2,0.0,16.83
G2F820,2013-01-22,27.6,14.4,82,1.7,0.0,15.61
G2F820,2013-01-23,23.7,15.5,83,1.8,0.0,14.26
G2F820,2013-01-24,24.7,14.9,83,1.5,0.0,12.66
G2F820,2013-01-25,20.7,13.3,77,2.3,0.0,7.97
G2F820,2013-01-26,20.0,12.0,83,1.7,0.0,10.56
G2F820,2013-01-27,21.7,12.5,76,2.3,0.0,13.01
G2F820,2013-01-28,24.0,10.2,79,1.2,0.0,14.50
G2F820,2013-01-29,24.4,12.6,78,1.7,0.0,12.77
G2F820,2013-01-30,25.3,10.7,75,1.7,0.0,15.87
G2F820,2013-01-31,26.1,10.2,72,1.6,0.0,16.01
G2F820,2013-02-01,27.5,12.1,68,1.6,0.0,13.02
G2F820,2013-02-02,26.6,16.1,82,1.5,0.0,9.72
G2F820,2013-02-03,26.3,16.6,92,1.7,0.5,7.33
G2F820,2013-02-04,28.4,16.2,84,1.6,0.0,12.85
G2F820,2013-02-05,27.7,19.0,78,2.5,0.0,10.42
G2F820,2013-02-06,27.4,17.3,79,1.8,0.0,16.21
G2F820,2013-02-07,25.9,16.8,85,2.5,0.0,11.22
G2F820,2013-02-08,23.0,14.7,73,3.7,0.0,14.44
G2F820,2013-02-09,21.9,14.3,78,3.2,0.0,16.39
G2F820,2013-02-10,21.6,14.5,84,2.1,0.0,11.63
G2F820,2013-02-11,23.1,14.8,83,2.2,0.0,14.98
G2F820,2013-02-12,25.4,16.0,80,2.7,0.0,17.67
G2F820,2013-02-13,25.4,15.6,74,2.8,0.0,16.17
G2F820,2013-02-14,25.3,16.7,80,2.0,0.0,16.89
G2F820,2013-02-15,27.3,16.3,78,2.9,0.0,18.30
G2F820,2013-02-16,25.7,15.6,73,2.3,0.0,17.77
G2F820,2013-02-17,29.0,15.9,78,1.6,0.0,17.38
G2F820,2013-02-18,29.3,17.0,79,1.5,0.0,17.30
G2F820,2013-02-19,25.1,14.7,81,3.3,0.0,15.44
G2F820,2013-02-20,21.3,14.6,75,3.0,0.0,8.62
G2F820,2013-02-21,22.8,14.0,85,2.4,0.0,12.25
G2F820,2013-02-22,23.0,15.7,80,4.1,0.0,18.17
G2F820,2013-02-23,25.1,14.1,77,1.9,0.0,17.18
G2F820,2013-02-24,24.6,14.6,85,1.7,0.0,16.25
G2F820,2013-02-25,26.3,15.2,84,1.6,0.0,14.85
G2F820,2013-02-26,27.5,16.2,78,1.3,0.0,11.14
G2F820,2013-02-27,28.1,17.9,79,2.3,0.0,16.04
G2F820,2013-02-28,25.4,17.6,84,1.9,0.0,14.70
G2F820,2013-03-01,29.9,18.0,78,2.3,0.0,12.16
G2F820,2013-03-02,19.8,13.6,79,3.6,0.0,5.36
G2F820,2013-03-03,15.2,12.5,83,2.6,0.0,2.65
G2F820,2013-03-04,22.1,12.2,64,2.0,0.5,13.95
G2F820,2013-03-05,25.1,12.4,72,1.5,0.0,17.41
G2F820,2013-03-06,25.6,13.6,78,1.6,0.0,17.71
G2F820,2013-03-07,26.4,12.6,69,1.8,0.0,19.86
G2F820,2013-03-08,28.3,12.6,62,1.8,0.0,19.60
G2F820,2013-03-09,28.1,14.8,74,1.5,0.0,18.86
G2F820,2013-03-10,29.3,15.8,74,2.6,0.0,20.10
G2F820,2013-03-11,25.7,16.9,78,2.1,0.0,17.83
G2F820,2013-03-12,28.5,16.1,79,1.4,0.0,19.03
G2F820,2013-03-13,29.5,18.9,81,2.0,0.0,12.17
G2F820,2013-03-14,23.5,16.1,71,3.5,0.0,16.00
G2F820,2013-03-15,22.7,16.2,78,1.7,0.0,6.28
G2F820,2013-03-16,26.7,15.8,81,1.7,0.0,18.87
G2F820,2013-03-17,29.3,16.6,76,1.5,0.0,17.69
G2F820,2013-03-18,27.1,20.8,83,1.9,2.0,6.27
G2F820,2013-03-19,28.8,20.8,82,2.0,0.0,12.73
G2F820,2013-03-20,28.7,21.7,83,2.4,0.0,11.06
G2F820,2013-03-21,24.0,18.7,87,1.8,4.5,6.97
G2F820,2013-03-22,30.6,18.0,81,1.2,0.0,19.46
G2F820,2013-03-23,29.9,21.2,80,1.8,0.0,17.30
G2F820,2013-03-24,26.4,21.3,89,1.7,1.0,5.07
G2F820,2013-03-25,28.3,18.3,74,2.4,0.0,20.21
G2F820,2013-03-26,25.8,17.9,79,2.8,1.5,9.34
G2F820,2013-03-27,27.9,18.0,81,2.8,13.5,17.34
G2F820,2013-03-28,29.4,19.4,81,2.1,12.5,15.64
G2F820,2013-03-29,27.0,18.8,81,2.8,0.5,15.98
G2F820,2013-03-30,27.5,17.1,80,2.1,0.0,16.77
G2F820,2013-03-31,25.9,19.6,87,2.0,0.5,8.55
G2F820,2013-04-01,24.2,19.3,93,1.4,8.5,5.36
G2F820,2013-04-02,28.2,18.8,81,2.6,3.5,20.12
G2F820,2013-04-03,26.3,17.7,88,2.1,7.0,13.16
G2F820,2013-04-04,25.7,19.6,93,1.8,10.0,6.58
G2F820,2013-04-05,25.1,20.8,97,2.3,157.0,2.55
G2F820,2013-04-06,24.0,15.8,89,3.0,2.5,2.61
G2F820,2013-04-07,24.2,14.9,67,1.8,0.0,17.20
G2F820,2013-04-08,26.0,16.9,82,1.6,0.0,9.53
G2F820,2013-04-09,25.0,18.3,91,1.9,16.5,7.04
G2F820,2013-04-10,22.2,17.3,87,1.9,0.5,6.49
G2F820,2013-04-11,21.3,17.3,91,1.2,2.5,2.69
G2F820,2013-04-12,19.1,16.3,95,1.6,7.0,3.31
G2F820,2013-04-13,22.3,17.5,94,1.4,1.0,3.76
G2F820,2013-04-14,20.9,17.5,98,1.6,13.0,1.65
G2F820,2013-04-15,28.5,16.3,85,1.4,0.5,20.14
G2F820,2013-04-16,29.8,21.1,81,2.0,0.0,14.23
G2F820,2013-04-17,29.3,22.8,80,2.2,0.0,6.26
G2F820,2013-04-18,29.9,22.6,85,2.0,0.5,12.01
G2F820,2013-04-19,28.9,22.0,87,1.4,1.0,11.13
G2F820,2013-04-20,28.8,21.7,93,1.2,4.0,8.17
G2F820,2013-04-21,24.2,17.8,84,2.3,1.5,9.95
G2F820,2013-04-22,26.8,16.9,81,1.2,0.0,13.26
G2F820,2013-04-23,30.4,20.8,81,1.9,0.0,20.15
G2F820,2013-04-24,30.8,22.8,83,2.1,0.0,19.44
G2F820,2013-04-25,28.3,21.4,92,1.7,11.0,6.27
G2F820,2013-04-26,26.5,20.8,88,1.1,5.0,5.99
G2F820,2013-04-27,22.8,20.2,94,1.7,7.5,4.38
G2F820,2013-04-28,28.6,20.2,90,1.5,13.0,15.81
G2F820,2013-04-29,30.2,19.6,82,1.6,0.0,23.52
G2F820,2013-04-30,31.3,21.7,80,2.2,0.0,19.50
G2F820,2013-05-01,25.7,19.5,86,1.9,20.5,9.43
G2F820,2013-05-02,24.6,19.9,90,0.7,0.0,2.71
G2F820,2013-05-03,22.8,20.4,97,1.0,7.0,4.88
G2F820,2013-05-04,29.6,20.4,86,1.5,0.0,16.09
G2F820,2013-05-05,30.4,22.1,83,1.6,0.0,20.06
G2F820,2013-05-06,30.1,22.9,86,1.7,0.0,17.51
G2F820,2013-05-07,29.8,23.2,87,1.8,0.0,18.61
G2F820,2013-05-08,30.5,23.2,88,1.1,0.0,8.78
G2F820,2013-05-09,30.7,23.4,86,1.4,0.0,11.35
G2F820,2013-05-10,33.3,24.1,81,2.7,0.0,21.15
G2F820,2013-05-11,29.3,24.2,86,2.6,2.0,10.07
G2F820,2013-05-12,28.0,23.1,93,1.2,23.0,5.28
G2F820,2013-05-13,28.3,22.3,93,1.6,26.5,9.51
G2F820,2013-05-14,31.4,21.8,85,2.0,0.0,21.42
G2F820,2013-05-15,32.2,23.1,84,2.0,0.0,12.05
G2F820,2013-05-16,28.9,24.5,89,2.2,5.5,7.38
G2F820,2013-05-17,30.6,23.1,87,2.6,66.5,12.35
G2F820,2013-05-18,32.3,25.2,85,2.8,1.0,15.20
G2F820,2013-05-19,29.8,24.6,93,2.5,54.5,7.12
G2F820,2013-05-20,32.0,24.2,89,3.0,52.5,11.78
G2F820,2013-05-21,30.7,23.1,91,2.8,31.5,8.96
G2F820,2013-05-22,31.9,22.9,86,2.0,19.0,9.72
G2F820,2013-05-23,28.9,23.8,92,1.9,17.5,8.88
G2F820,2013-05-24,32.0,23.6,86,1.7,0.0,21.82
