測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,1990-01-01,19.9,14.7,94,2.1,2.0,5.82
G2F820,1990-01-02,20.0,14.2,89,3.0,1.5,7.55
G2F820,1990-01-03,19.8,13.1,81,2.3,0.0,6.49
G2F820,1990-01-04,21.0,10.6,84,2.6,0.0,14.19
G2F820,1990-01-05,23.8,9.0,82,2.0,0.0,14.49
G2F820,1990-01-06,22.8,12.4,81,2.7,0.0,12.63
G2F820,1990-01-07,20.6,13.2,91,1.6,0.0,5.59
G2F820,1990-01-08,23.7,12.8,87,2.2,0.0,9.65
G2F820,1990-01-09,25.9,15.7,89,2.5,2.5,12.22
G2F820,1990-01-10,28.1,12.8,83,1.9,0.0,15.24
G2F820,1990-01-11,24.8,13.8,87,2.0,0.0,12.99
G2F820,1990-01-12,23.9,15.6,86,2.4,0.0,10.80
G2F820,1990-01-13,23.2,15.4,79,2.6,0.0,11.81
G2F820,1990-01-14,24.9,15.9,85,2.5,0.0,11.57
G2F820,1990-01-15,25.9,14.0,88,3.0,3.0,9.94
G2F820,1990-01-16,14.7,12.0,83,3.8,1.0,3.42
G2F820,1990-01-17,21.0,12.4,82,1.8,0.0,11.60
G2F820,1990-01-18,23.7,12.4,84,2.1,0.0,13.94
G2F820,1990-01-19,22.4,14.4,87,3.2,0.0,8.57
G2F820,1990-01-20,20.6,12.8,81,2.9,0.5,10.73
G2F820,1990-01-21,17.4,14.0,94,2.2,1.0,3.34
G2F820,1990-01-22,20.6,14.7,88,3.2,0.0,8.51
G2F820,1990-01-23,14.8,11.1,86,4.5,3.5,1.85
G2F820,1990-01-24,20.4,10.7,76,1.6,0.0,12.98
G2F820,1990-01-25,16.6,12.6,94,1.6,3.0,2.42
G2F820,1990-01-26,22.0,11.3,89,2.8,0.0,14.57
G2F820,1990-01-27,23.3,11.4,88,2.2,0.0,12.56
G2F820,1990-01-28,22.7,14.1,90,2.1,0.0,12.95
G2F820,1990-01-29,24.6,14.9,90,1.8,0.0,11.01
G2F820,1990-01-30,23.3,17.2,92,2.3,0.0,9.69
G2F820,1990-01-31,18.3,10.2,87,3.8,4.0,3.32
G2F820,1990-02-01,13.8,9.8,86,3.2,0.5,4.46
G2F820,1990-02-02,23.0,10.3,85,2.5,0.0,15.27
G2F820,1990-02-03,23.2,14.9,90,2.9,0.0,9.58
G2F820,1990-02-04,21.8,12.5,85,3.6,0.0,12.37
G2F820,1990-02-05,22.4,12.3,87,2.3,0.0,12.50
G2F820,1990-02-06,22.3,12.9,88,2.5,0.0,15.02
G2F820,1990-02-07,25.2,15.5,85,2.2,0.0,16.42
G2F820,1990-02-08,24.6,16.3,83,3.0,0.0,15.27
G2F820,1990-02-09,25.4,15.8,85,1.7,0.0,12.22
G2F820,1990-02-10,26.5,14.9,86,1.8,0.0,15.09
G2F820,1990-02-11,26.1,15.4,83,2.4,0.0,14.71
G2F820,1990-02-12,24.9,16.1,84,2.1,0.0,13.71
G2F820,1990-02-13,23.4,14.4,87,1.9,0.0,10.44
G2F820,1990-02-14,28.1,16.7,81,2.6,0.0,16.69
