測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,1994-01-01,22.4,13.6,71,1.5,0.0,8.38
G2F820,1994-01-02,25.3,11.9,80,1.8,0.0,11.35
G2F820,1994-01-03,26.8,14.8,70,2.3,0.0,11.80
G2F820,1994-01-04,26.9,13.8,72,1.6,0.0,11.07
G2F820,1994-01-05,27.5,14.2,78,1.8,0.0,8.75
G2F820,1994-01-06,27.4,14.0,77,1.9,0.0,11.30
G2F820,1994-01-07,24.3,15.6,86,1.5,0.0,6.76
G2F820,1994-01-08,19.2,15.2,94,1.8,8.5,2.11
G2F820,1994-01-09,23.7,14.7,88,1.7,0.0,9.19
G2F820,1994-01-10,25.4,14.7,84,1.8,0.0,11.06
G2F820,1994-01-11,25.4,14.0,82,1.7,0.0,10.77
G2F820,1994-01-12,23.4,16.5,84,2.0,0.5,5.38
G2F820,1994-01-13,18.1,13.2,89,4.0,8.0,4.34
G2F820,1994-01-14,15.2,11.8,82,2.8,1.0,2.81
G2F820,1994-01-15,20.0,11.3,81,1.5,0.0,7.59
G2F820,1994-01-16,25.7,11.3,77,1.9,0.0,11.90
G2F820,1994-01-17,27.2,12.2,78,1.5,0.0,11.79
G2F820,1994-01-18,24.6,12.1,81,2.7,0.0,11.31
G2F820,1994-01-19,19.5,11.1,76,2.1,0.0,6.58
G2F820,1994-01-20,19.4,11.9,80,3.2,0.0,6.52
G2F820,1994-01-21,15.2,8.7,70,4.2,0.5,9.23
G2F820,1994-01-22,13.5,9.0,77,2.7,0.0,3.62
G2F820,1994-01-23,20.1,7.8,75,2.2,0.0,11.78
G2F820,1994-01-24,22.1,6.5,76,1.8,3.0,10.18
G2F820,1994-01-25,18.0,13.0,92,2.7,8.5,3.76
G2F820,1994-01-26,23.4,13.0,86,2.4,0.5,9.86
G2F820,1994-01-27,22.7,12.2,78,2.8,0.0,11.26
G2F820,1994-01-28,22.4,13.0,78,2.5,0.0,12.38
G2F820,1994-01-29,20.9,11.6,72,2.2,0.5,9.25
G2F820,1994-01-30,21.0,12.4,73,1.5,0.0,6.73
G2F820,1994-01-31,24.9,13.0,80,1.4,0.0,12.27
G2F820,1994-02-01,26.8,13.4,79,2.2,0.0,13.10
G2F820,1994-02-02,20.8,10.4,75,2.7,0.0,12.40
G2F820,1994-02-03,23.8,9.6,78,1.5,0.0,12.20
G2F820,1994-02-04,25.9,14.1,76,2.3,0.0,11.40
G2F820,1994-02-05,27.8,15.4,76,2.2,0.0,9.00
G2F820,1994-02-06,27.5,14.1,78,2.8,0.0,12.60
G2F820,1994-02-07,24.3,14.5,81,2.3,0.0,12.10
G2F820,1994-02-08,24.6,16.0,79,2.2,0.0,9.00
G2F820,1994-02-09,23.8,12.5,71,2.5,0.0,12.20
G2F820,1994-02-10,24.4,10.4,72,2.2,0.0,12.60
G2F820,1994-02-11,24.3,15.9,77,3.2,2.0,2.60
G2F820,1994-02-12,21.1,13.7,80,3.3,12.5,9.70
G2F820,1994-02-13,22.3,12.3,82,2.2,5.5,7.90
G2F820,1994-02-14,26.6,16.2,89,2.4,6.5,7.60
G2F820,1994-02-15,25.6,16.7,84,2.8,3.5,12.06
G2F820,1994-02-16,17.6,14.6,92,2.5,21.5,1.60
G2F820,1994-02-17,16.9,15.2,93,2.2,20.0,1.90
G2F820,1994-02-18,18.8,15.3,94,1.7,14.5,2.50
G2F820,1994-02-19,19.2,16.6,95,2.1,26.0,2.20
G2F820,1994-02-20,19.4,14.0,89,3.1,0.5,3.70
G2F820,1994-02-21,23.3,10.9,76,1.8,0.0,15.10
G2F820,1994-02-22,24.8,15.1,79,2.4,0.0,11.80
G2F820,1994-02-23,27.6,16.8,79,2.0,0.0,11.79
G2F820,1994-02-24,23.4,16.3,83,2.9,0.0,8.70
G2F820,1994-02-25,16.7,13.7,80,3.8,0.0,3.90
G2F820,1994-02-26,15.2,12.9,87,2.6,7.0,1.00
G2F820,1994-02-27,15.5,13.0,93,2.2,4.5,0.86
G2F820,1994-02-28,19.8,13.9,88,3.1,1.0,4.85
G2F820,1994-03-01,17.8,13.7,81,3.1,0.0,4.41
G2F820,1994-03-02,18.0,13.2,78,2.8,0.0,7.00
G2F820,1994-03-03,18.4,10.6,87,3.1,6.5,9.69
G2F820,1994-03-04,23.2,9.7,76,2.3,0.0,16.32
G2F820,1994-03-05,24.3,14.1,68,2.0,0.0,14.30
G2F820,1994-03-06,24.1,12.1,66,1.8,0.0,11.30
G2F820,1994-03-07,29.2,16.2,70,2.4,0.0,11.20
G2F820,1994-03-08,22.4,19.2,90,2.0,17.0,2.60
G2F820,1994-03-09,20.3,15.9,90,2.7,0.0,3.30
G2F820,1994-03-10,20.3,12.7,80,3.4,9.0,11.10
G2F820,1994-03-11,23.1,15.7,81,2.3,0.0,10.40
G2F820,1994-03-12,27.7,17.3,82,1.7,2.5,5.40
G2F820,1994-03-13,21.0,13.7,84,3.7,0.5,3.20
G2F820,1994-03-14,17.7,12.6,80,3.1,0.0,4.20
G2F820,1994-03-15,18.1,14.0,87,1.9,0.0,2.60
G2F820,1994-03-16,21.8,15.5,86,1.7,0.0,6.00
G2F820,1994-03-17,20.2,15.3,83,3.2,0.0,7.80
G2F820,1994-03-18,22.0,14.7,82,2.5,1.0,3.03
G2F820,1994-03-19,18.0,12.9,91,3.2,14.5,1.40
G2F820,1994-03-20,25.8,14.5,78,1.8,0.0,19.10
G2F820,1994-03-21,26.3,16.4,78,2.5,0.0,16.50
G2F820,1994-03-22,20.0,15.1,91,2.7,6.0,2.40
G2F820,1994-03-23,20.6,14.2,76,3.8,0.5,7.70
G2F820,1994-03-24,22.6,12.2,68,2.3,0.0,13.70
G2F820,1994-03-25,19.9,11.6,78,1.3,0.0,5.10
G2F820,1994-03-26,19.6,11.8,78,2.6,0.0,3.70
G2F820,1994-03-27,24.3,10.4,76,1.8,0.0,16.90
G2F820,1994-03-28,23.8,13.7,79,2.2,0.0,17.20
G2F820,1994-03-29,25.3,15.3,82,2.1,0.0,14.00
G2F820,1994-03-30,24.6,16.9,86,2.5,0.0,11.50
G2F820,1994-03-31,26.1,16.0,82,2.1,0.0,13.90
G2F820,1994-04-01,28.0,18.2,79,3.1,4.5,17.90
G2F820,1994-04-02,28.6,18.0,82,2.2,0.0,18.20
G2F820,1994-04-03,28.8,17.7,81,2.2,0.0,16.50
G2F820,1994-04-04,28.6,19.0,81,2.0,0.0,17.20
G2F820,1994-04-05,29.2,22.6,84,2.1,0.0,14.10
G2F820,1994-04-06,28.9,21.7,84,2.3,0.0,17.40
G2F820,1994-04-07,31.0,21.9,78,2.4,0.0,16.50
G2F820,1994-04-08,30.4,21.4,81,2.4,0.0,15.20
G2F820,1994-04-09,27.7,20.8,84,2.9,0.0,12.90
G2F820,1994-04-10,29.2,19.3,85,2.2,0.0,14.50
G2F820,1994-04-11,30.1,21.3,84,1.9,0.0,12.10
G2F820,1994-04-12,30.4,23.5,80,3.4,0.0,13.80
G2F820,1994-04-13,23.5,17.5,85,3.1,0.0,3.60
G2F820,1994-04-14,21.2,16.8,94,1.7,9.0,2.70
G2F820,1994-04-15,26.2,19.4,88,2.3,0.0,12.30
G2F820,1994-04-16,29.1,19.3,84,1.9,0.0,16.70
G2F820,1994-04-17,30.3,20.6,80,2.5,0.0,18.30
G2F820,1994-04-18,31.9,22.1,78,2.2,0.0,16.10
G2F820,1994-04-19,32.1,22.3,80,2.8,0.0,17.10
G2F820,1994-04-20,31.3,21.0,80,3.2,0.0,17.40
G2F820,1994-04-21,30.4,22.7,82,2.9,0.0,14.30
G2F820,1994-04-22,30.7,21.5,84,2.3,0.0,15.60
G2F820,1994-04-23,31.7,21.3,82,2.1,0.0,18.40
G2F820,1994-04-24,32.1,22.4,78,2.3,0.0,18.40
G2F820,1994-04-25,32.6,21.8,71,3.8,0.0,19.50
G2F820,1994-04-26,31.9,23.1,81,2.2,0.0,12.30
G2F820,1994-04-27,30.2,24.1,87,1.5,0.0,7.00
G2F820,1994-04-28,30.9,23.6,89,1.8,1.0,9.30
G2F820,1994-04-29,30.5,22.9,88,2.4,1.5,9.10
G2F820,1994-04-30,32.0,22.2,83,2.1,0.0,16.70
G2F820,1994-05-01,31.7,22.8,82,2.1,0.5,15.80
G2F820,1994-05-02,33.0,24.0,80,3.4,0.5,12.60
G2F820,1994-05-03,26.4,17.6,90,3.6,138.5,1.50
G2F820,1994-05-04,29.7,18.3,92,3.6,86.5,8.20
G2F820,1994-05-05,23.9,15.4,94,2.8,6.5,16.90
G2F820,1994-05-06,27.5,14.9,82,2.4,0.0,9.80
G2F820,1994-05-07,27.4,20.5,82,1.5,0.0,6.90
G2F820,1994-05-08,29.0,19.7,79,1.9,0.0,12.70
G2F820,1994-05-09,30.6,19.5,78,1.8,0.0,18.60
G2F820,1994-05-10,30.7,22.1,76,3.4,0.0,16.70
G2F820,1994-05-11,26.5,12.4,91,2.6,45.0,3.40
G2F820,1994-05-12,31.0,22.0,84,1.8,0.0,16.40
G2F820,1994-05-13,30.9,22.8,84,2.3,0.0,18.10
G2F820,1994-05-14,31.5,23.5,80,3.7,0.0,15.00
G2F820,1994-05-15,33.4,24.6,84,2.5,0.0,19.00
G2F820,1994-05-16,31.9,24.4,83,2.7,0.0,15.80
G2F820,1994-05-17,30.3,24.0,84,2.4,6.5,5.90
G2F820,1994-05-18,27.0,21.8,91,2.1,15.5,5.60
G2F820,1994-05-19,30.4,20.9,85,1.7,0.0,13.70
G2F820,1994-05-20,31.2,23.5,86,2.4,0.0,15.80
G2F820,1994-05-21,31.0,22.8,85,1.9,0.0,17.90
G2F820,1994-05-22,31.4,22.0,83,1.9,0.0,15.30
G2F820,1994-05-23,31.5,23.8,83,1.8,0.0,12.70
G2F820,1994-05-24,32.9,23.4,83,1.9,0.0,14.70
G2F820,1994-05-25,33.0,24.8,85,2.4,0.0,17.40
G2F820,1994-05-26,33.0,25.5,86,2.4,0.0,17.50
G2F820,1994-05-27,32.3,23.6,87,1.8,2.0,12.00
G2F820,1994-05-28,28.3,23.3,95,1.7,15.0,6.00
G2F820,1994-05-29,30.5,24.3,90,2.3,0.0,14.30
G2F820,1994-05-30,32.3,24.1,86,2.2,0.0,20.30
G2F820,1994-05-31,31.8,24.1,88,2.3,0.5,16.70
G2F820,1994-06-01,26.3,22.2,97,1.8,7.5,3.90
G2F820,1994-06-02,28.4,22.6,93,1.6,0.0,8.30
G2F820,1994-06-03,31.4,22.7,84,2.4,0.0,16.40
G2F820,1994-06-04,32.2,24.2,87,1.8,4.0,12.50
G2F820,1994-06-05,33.8,22.6,80,2.3,0.0,18.80
G2F820,1994-06-06,32.9,23.4,89,2.4,16.5,12.60
G2F820,1994-06-07,31.6,22.8,93,1.7,10.5,13.80
G2F820,1994-06-08,32.4,22.7,91,2.6,1.0,7.10
G2F820,1994-06-09,33.7,23.3,,3.3,0.0,21.10
G2F820,1994-06-10,32.6,23.8,,4.1,0.0,17.60
G2F820,1994-06-11,32.1,24.6,,3.3,0.0,9.80
G2F820,1994-06-12,32.8,23.9,,4.3,0.0,16.60
G2F820,1994-06-13,32.8,23.9,,4.0,3.5,12.60
G2F820,1994-06-14,31.6,24.1,,3.9,0.0,11.80
G2F820,1994-06-15,30.6,24.6,,3.1,0.0,8.04
G2F820,1994-06-16,31.9,24.5,,3.5,0.0,11.20
G2F820,1994-06-17,32.6,24.7,,4.8,1.0,14.00
G2F820,1994-06-18,32.4,23.7,,3.9,83.5,8.90
G2F820,1994-06-19,31.1,23.3,,1.6,10.0,9.10
G2F820,1994-06-20,32.1,22.6,,2.2,38.0,10.50
G2F820,1994-06-21,32.7,21.9,,2.4,0.0,20.18
G2F820,1994-06-22,34.5,24.1,,2.2,6.0,17.59
G2F820,1994-06-23,33.5,23.1,,2.9,0.0,20.76
G2F820,1994-06-24,34.9,23.8,,1.9,0.0,20.71
G2F820,1994-06-25,34.1,24.1,,2.4,0.0,16.16
G2F820,1994-06-26,34.3,24.0,,2.7,1.0,17.03
G2F820,1994-06-27,33.8,24.1,,2.0,0.0,18.98
G2F820,1994-06-28,33.4,22.2,,3.0,35.5,15.30
G2F820,1994-06-29,32.8,22.8,,1.9,0.0,18.16
G2F820,1994-06-30,32.5,25.3,72,2.4,0.0,11.69
G2F820,1994-07-01,33.4,24.5,73,2.0,0.0,14.99
G2F820,1994-07-02,34.1,25.8,73,2.1,0.0,16.30
G2F820,1994-07-03,32.9,25.8,73,2.8,0.0,9.60
G2F820,1994-07-04,31.2,23.8,81,2.3,25.5,10.30
G2F820,1994-07-05,32.4,23.4,82,2.1,5.0,13.55
G2F820,1994-07-06,31.5,24.0,81,2.0,0.0,12.36
G2F820,1994-07-07,34.6,25.2,76,2.0,0.5,14.04
G2F820,1994-07-08,35.9,25.2,74,2.4,0.0,16.34
G2F820,1994-07-09,33.2,25.3,78,2.0,0.0,12.95
G2F820,1994-07-10,33.5,25.1,77,3.1,12.0,9.15
